Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cruise,534,79,26615,2384,2005,2003,2007,2006,374,530,475,482,20,35,40,41,7,8,7,7,5471.4,422379,430488,4856186,36355848,43749481,9094,60174,69185
General cargo,167,14,336,439,1997,1999,2000,1999,694,537,666,662,56,53,69,69,11,22,15,16,125.1,9411,9592,1321354,3795561,5449986,7912,25984,37236
Ro-Ro,87,4,182,209,1986,1980,1988,1987,359,624,414,439,31,60,53,57,8,12,12,12,84.5,6437,6560,435400,2560362,1381815,5005,12073,15875
Container,31,5,97,127,1997,1997,1997,1997,745,707,724,724,68,65,79,79,8,6,9,9,33.1,2529,2578,265296,690373,780111,8558,22734,25768
Chemical tanker,28,22,922,1535,2010,2010,2010,2010,1002,1418,1392,1396,84,131,252,251,28,25,32,32,141.1,10900,11110,369113,2316560,2680739,13183,96890,118651
Bulk carrier,21,4,66,115,1972,1979,1988,1990,992,825,875,885,109,88,90,89,28,23,16,15,17.1,1294,1319,107706,253921,303257,5129,16533,20553
Liquefied gas tanker,13,9,182,205,2007,2007,2011,2011,896,818,872,875,74,73,86,86,21,19,20,20,31.1,2385,2431,99254,400673,391856,7635,48591,68008
Oil tanker,9,8,290,513,2004,2004,2004,2004,794,833,872,872,139,118,169,170,18,18,19,19,45.0,3484,3551,322142,685643,757798,35794,96648,118739
Service - other,2,2,21,10,1984,1984,1987,1986,4950,4950,2907,3271,736,736,511,653,17,17,14,16,16.9,1272,1296,72347,148440,159953,36173,80492,90887
Service - tug,1,1,1,1,2009,2009,2009,2009,378,378,378,378,87,87,87,87,16,16,16,16,0.2,15,15,14263,33727,45159,14263,36829,49725
