int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,51,38,2004,2008,2010,2010,1089503907,1808538680,826,1016,1095,1111,121,9347
Service - tug,255,10,2000,2007,2009,2008,24300942,22404389,77,343,245,207,40,3019
Chemical tanker,23,20,2007,2007,2010,2010,358903701,575785513,1065,1149,1035,1032,84,6420
General cargo,263,39,2007,2006,2007,2007,1246390519,1566453467,237,892,778,716,295,22626
Refrigerated bulk,44,28,1990,1991,1990,1990,311847908,368420830,1180,1046,1338,1333,277,20952
Container,37,3,2008,2008,2008,2008,42982757,56498387,199,180,185,184,16,1241
Oil tanker,2,2,2012,2012,2012,2012,91287466,159155466,1061,1061,1061,1061,12,925
Miscellaneous - fishing,2,1,1986,1986,1986,1986,614322,584047,315,315,315,315,1,54
Service - other,6,4,1998,1998,1988,1987,8803676,10271405,290,554,1333,1438,7,526
Offshore,5,2,1989,1996,2005,2004,2528098,1828166,111,1149,1261,1076,10,775
Liquefied gas tanker,1,1,1993,1993,1993,1993,11275645,10164819,5072,5072,5072,5072,35,2598
Ferry-RoPax,5,1,1976,1976,1976,1976,8523121,582446,2605,2605,3883,3883,22,1643
Ro-Ro,7,1,2017,2017,2017,2017,8508439,10326069,737,737,863,863,11,810
