int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,263,39,2007,2006,2009,2009,1710252267,2258103040,274,1540,1067,1032,402,30838
Service - tug,255,10,2000,2007,2009,2008,25594450,23657328,76,540,258,219,38,2878
Chemical tanker,23,20,2007,2007,2010,2010,510096517,824676900,1027,1206,1470,1478,115,8856
Bulk carrier,51,38,2004,2008,2009,2009,2681880749,4282319211,3248,2897,2695,2630,290,22382
Refrigerated bulk,44,28,1990,1991,1991,1991,439895726,515353046,1351,1983,1888,1864,305,23079
Container,37,3,2008,2008,2008,2008,95534493,125491365,295,360,410,410,37,2801
Oil tanker,2,2,2012,2012,2009,2009,329572938,575790964,3839,3839,3831,3839,28,2184
Miscellaneous - fishing,2,1,1986,1986,1986,1986,952823,905867,489,489,489,489,2,133
Service - other,6,4,1998,1998,1996,1992,9367043,9049948,1112,1567,1418,1267,23,1725
Offshore,5,2,1989,1996,2006,2006,1696823,1199587,115,830,846,706,7,501
Liquefied gas tanker,1,1,1993,1993,1993,1993,463173,417543,208,208,208,208,52,3913
Ferry-RoPax,5,1,1976,1976,1976,1976,2040140,139417,934,934,929,929,8,606
Ro-Ro,7,1,2017,2017,2017,2017,3721037,4515950,235,235,377,377,3,216
