int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,6309,3076,2007,2009,2010,2010,415389379768,737854176309,1136,2441,2357,2388,36971,2847956
Container,3261,644,2005,2007,2009,2008,93525188502,104504441564,596,1007,1010,997,11795,900431
Chemical tanker,3753,914,2007,2007,2008,2008,61019027044,97940427329,550,1030,1034,1042,13125,997582
General cargo,15008,2734,1993,1996,2000,2000,51000483901,69902735842,491,848,822,842,12823,972741
Service - other,220,150,1993,1993,1994,1990,1328715074,709665602,390,2001,1763,1691,710,53472
Miscellaneous - fishing,2308,644,1988,1988,1989,1989,5116777337,2702395550,352,2390,1929,1834,3661,275393
Refrigerated bulk,927,215,1991,1991,1995,1995,14862508164,15586426712,999,2451,2630,2647,8045,609058
Oil tanker,4822,1148,2006,2005,2009,2009,236571339633,420011606653,553,1353,1271,1256,30739,2350193
Vehicle,405,61,2001,2003,2006,2006,10845965079,3750875821,511,1526,1193,1195,1025,75277
Liquefied gas tanker,749,80,2010,2009,2013,2013,73006630466,56636246097,966,2072,2057,2046,8595,545893
Other liquids tankers,2,2,1984,1984,1987,1987,134232,195680,129,129,155,147,20,1489
Cruise,387,101,2002,1997,2007,2005,8032556338,835069829,190,747,341,335,2350,177685
Offshore,108,74,2002,2004,2007,2006,733793899,848088151,489,1862,944,961,401,30176
Ro-Ro,928,75,1991,1994,1996,1995,4229943535,2892973558,224,935,382,434,1990,151156
Service - tug,740,300,1991,1996,2006,2006,850102895,524877487,262,1463,1651,1735,1228,92293
Ferry-pax only,131,25,1992,1991,1987,1985,147518068,38413822,189,2940,521,722,145,11003
Ferry-RoPax,316,15,1997,1992,1990,1992,1459304771,201864672,219,776,296,303,586,44241
Yacht,1,1,1958,1958,1958,1958,48543,83444,188,188,188,188,0,0
