dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1322,484,1997,2007,2005,2006,14583649027,25208353941,215,589,608,612,1846,142010
Container,784,92,2002,2005,2001,2001,3631196236,4662741610,547,264,384,403,1355,103786
General cargo,20563,1238,1988,1991,1992,1992,29399076272,37391557114,194,383,384,392,9148,695236
Miscellaneous - fishing,3493,471,1988,1988,1988,1988,6968445726,3512083591,350,3055,2542,2314,4969,373849
Oil tanker,8769,378,1996,1998,2006,2005,37339595464,49348969776,220,511,699,629,15096,1148233
Chemical tanker,4743,216,2001,2003,2003,2002,8238100669,12171937723,189,504,425,430,6240,471493
Liquefied gas tanker,14,10,2009,2010,2008,2009,1366514923,895113472,585,659,943,920,125,8321
Other liquids tankers,6,2,1985,1984,1986,1986,880696,1322697,278,290,314,314,84,6330
Cruise,244,19,1982,1986,1984,1982,902061199,175517420,307,660,699,667,635,48252
Offshore,724,48,2006,2003,2010,2009,2291807206,1523922499,608,976,654,652,1653,124493
Refrigerated bulk,643,103,1987,1988,1989,1989,4201121711,4263205299,1351,1814,2057,2064,4110,310309
Ro-Ro,361,23,1989,1992,1988,1988,2626472452,1684381786,520,578,566,582,842,63819
Service - other,632,113,1994,1993,1997,1998,4819725402,1698202578,471,1574,2173,1580,1604,121176
Service - tug,1840,222,1995,1995,1999,2002,1478098952,782362582,317,868,724,776,1661,125014
Ferry-RoPax,538,6,1988,1986,1988,1988,1788635522,534347199,158,205,341,344,492,36931
Ferry-pax only,219,18,1992,1993,1989,1988,234955606,46928404,355,1399,446,458,162,12172
Vehicle,7,3,1994,1993,2002,2002,128423838,45135436,158,777,706,679,19,1416
