int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Fokino,33,30,1991,1992,2002,2002,381273498,456115427,799,1555,1978,2045,124,9456
Ol'Ga,105,36,1983,1989,1988,1989,296314686,370017303,638,1171,1260,1207,159,12050
Vitaz Marine Terminal,10,9,2007,2007,2005,2004,131265835,58712536,211,3712,2603,2133,39,2916
Severodvinsk,11,11,1990,1990,2008,2007,45221585,32582435,139,539,1087,942,80,6018
Vitino,11,10,2010,2010,2010,2010,682848859,1061935207,2222,2564,2563,2560,74,5706
Engels,10,10,1993,1993,1976,1977,119644300,155382927,772,3324,3031,2873,41,3116
Varandey,5,5,2003,2003,2005,2007,25711164,31343397,389,1412,394,386,8,638
Ozerko,21,13,1989,1989,1987,1983,43309735,25074208,636,1381,1435,1216,37,2775
Tol'Yatti,20,18,1987,1989,1980,1979,94547927,127460864,432,1832,1347,1403,274,20547
Khvalynsk,3,3,1987,1987,1993,1993,7408467,9585317,847,592,627,642,13,971
Naberezhnyye Chelny,1,1,1998,1998,1998,1998,607654684,1118336408,10633,10633,10633,10633,37,2855
Ivanovo,1,1,2016,2016,2016,2016,7698060,10953273,1960,1960,1960,1960,17,1274
Siziman,4,4,1990,1990,1995,1996,9593807,11043980,653,756,856,922,3,216
Poyarkovo,6,6,2018,2018,2018,2018,265738,170178,262,310,347,334,1,97
Mys Rogatyy Oktyabrskiy,5,2,1992,1993,1992,1992,3698602,1855103,487,550,899,896,3,225
Volzhsk,2,2,1980,1980,1961,1961,55886222,97203724,14129,14129,5175,5483,21,1579
Moskal Vo,7,7,1986,1986,1991,1992,93546874,74654133,1606,3819,4621,5372,45,3408
Boshnyakovo,6,6,2000,2000,2010,2011,147372906,253675144,1616,1337,1774,1794,18,1385
Nikolayevsk Na Amur,10,9,2006,2007,1999,1999,37756094,46994190,1233,1354,1437,1444,13,1009
Tiksi,3,3,1981,1981,1981,1981,28420200,48175705,3014,3301,3301,3301,15,1091
Kimry,2,2,1977,1977,1979,1979,3948,3139,4,4,1,1,9,695
Krasnoyarsk,4,4,1987,1987,1994,1995,473524510,817743650,3588,6940,7131,6931,104,7909
Oleniy Ostrov,6,6,1984,1984,1985,1984,15974718,20188868,550,688,735,738,80,6001
