port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Arkhangelsk - Petropavlovsk,2,2,1997,1997,1989,1987,7620598,5098700,4653,4653,4569,4551,11,856
Olya - Sabetta,1,1,2015,2015,2015,2015,605763,273307,210,210,210,210,0,27
Sabetta - Astrakhan,1,1,2015,2015,2015,2015,524476,236632,182,182,182,182,0,37
St Petersburg - Engels,1,1,2002,2002,2002,2002,8348889,9122680,1679,1679,1679,1679,1,109
Nogliki - Kuril'Skiy Burevestnik Afb (Burevestnik Afb),1,1,1972,1972,1972,1972,605093,588703,455,455,455,455,0,29
Ozerko - Ostrovnoy Gremikha,2,2,1994,1994,1991,1988,789376,990509,461,461,348,310,1,94
Varandey - Severodvinsk,1,1,1986,1986,1986,1986,1174399,1883622,619,619,619,619,1,40
St Petersburg - Olya,1,1,1976,1976,1976,1976,2281778,2208010,716,716,716,716,9,700
Taganrog - Naberezhnyye Chelny,1,1,2010,2010,2010,2010,285688,128502,574,574,574,574,1,50
Rostov-On-Don - Gelendzhik,1,1,2007,2007,2007,2007,76058,55315,277,277,277,277,0,19
Lomonosov - Gavrilov-Yam,1,1,1985,1985,1985,1985,718142,177614,854,854,854,854,1,71
Gavrilov-Yam - Engels,1,1,1985,1985,1985,1985,782344,193493,930,930,930,930,0,30
Ozerko - Severodvinsk,1,1,2002,2002,2002,2002,1250410,529149,3370,3370,3370,3370,4,315
Belomorsk - Keret,1,1,2002,2002,2002,2002,97655,41326,263,263,263,263,0,18
Keret - Vitino,1,1,2002,2002,2002,2002,144232,61036,389,389,389,389,0,19
Azov - Ikryanoye,1,1,2016,2016,2016,2016,2772922,4047083,612,612,612,612,1,81
Lazarev - Moskal Vo,1,1,1998,1998,1998,1998,1098438,418453,2378,2378,2378,2378,2,132
St Petersburg - Arkhangelsk,1,1,2013,2013,2013,2013,1061585,1572489,622,622,622,622,1,93
Uglich - Kondopoga,1,1,1971,1971,1971,1971,1958229,2522505,797,797,797,797,0,31
Varandey - Port Dikson,1,1,1973,1973,1973,1973,911858,294303,4825,4825,4825,4825,5,402
Arkhangelsk - Keret,1,1,1973,1973,1973,1973,51343,16571,272,272,272,272,0,16
Keret - Kandalaksha,1,1,1973,1973,1973,1973,12438,4014,66,66,66,66,0,4
Pevek - Vladivostok,1,1,1991,1991,1991,1991,25102519,38650111,3158,3158,3158,3158,7,539
Taman' - Ikryanoye,1,1,1959,1959,1959,1959,114656,42149,295,295,295,295,0,29
Rostov-Na-Donu - Trudfront,1,1,1983,1983,1983,1983,1555008,2018417,631,631,631,631,0,35
Sabetta - St Petersburg,1,1,2008,2008,2008,2008,56155585,42854799,5917,5917,5917,5917,40,3031
Temryuk - Vladivostok,1,1,2003,2003,2003,2003,1785904,2284391,408,408,408,408,3,199
Vladivostok - Kavkaz,1,1,2003,2003,2003,2003,752205,962163,172,172,172,172,2,135
Belomorsk - Kronshtadt,1,1,2016,2016,2016,2016,687019,385917,1471,1471,1471,1471,1,101
