,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,528,Netherlands (Kingdom of the),566,Nigeria,27," Anthracite, not agglomerated",3803648602.106,4111350.337651,"Netherlands (Kingdom of the) -  Anthracite, not agglomerated"
1,410,"Korea, Republic of",566,Nigeria,89," Cruise ships, excursion boats, ferry boats",3651160049.822,454.1,"Korea, Republic of -  Cruise ships, excursion boats, ferry boats"
2,056,Belgium,566,Nigeria,27," Anthracite, not agglomerated",2875733781.912,3629987.847465,"Belgium -  Anthracite, not agglomerated"
3,156,China,566,Nigeria,84, Nuclear reactors,1905511963.748,1355463.955264,China -  Nuclear reactors
4,840,United States of America,566,Nigeria,87, Pedestrian controlled tractors,711656924.433,596615.912516,United States of America -  Pedestrian controlled tractors
5,840,United States of America,566,Nigeria,27," Anthracite, not agglomerated",687758098.032,591056.5809859999,"United States of America -  Anthracite, not agglomerated"
6,250,France,566,Nigeria,27," Anthracite, not agglomerated",682560206.339,12063.305699999999,"France -  Anthracite, not agglomerated"
7,156,China,566,Nigeria,85, Electric motors of an output < 37.5 watts,598017794.801,304247.177198,China -  Electric motors of an output < 37.5 watts
8,428,Latvia,566,Nigeria,27," Anthracite, not agglomerated",582679009.84,793969.6557059999,"Latvia -  Anthracite, not agglomerated"
9,156,China,566,Nigeria,87, Pedestrian controlled tractors,526742868.688,221637.799926,China -  Pedestrian controlled tractors
10,356,India,566,Nigeria,87, Pedestrian controlled tractors,517057380.747,154342.66090000002,India -  Pedestrian controlled tractors
11,076,Brazil,566,Nigeria,17," Raw sugar, cane",490648806.096,591793.581,"Brazil -  Raw sugar, cane"
12,643,Russian Federation,566,Nigeria,10, Durum wheat,470243717.177,479533.937654,Russian Federation -  Durum wheat
13,724,Spain,566,Nigeria,27," Anthracite, not agglomerated",458924256.081,492287.750369,"Spain -  Anthracite, not agglomerated"
14,578,Norway,566,Nigeria,27," Anthracite, not agglomerated",438826772.104,613712.82591,"Norway -  Anthracite, not agglomerated"
15,410,"Korea, Republic of",566,Nigeria,27," Anthracite, not agglomerated",414366468.824,53308.021,"Korea, Republic of -  Anthracite, not agglomerated"
16,156,China,566,Nigeria,72," Pig iron, non-alloy, <0.5% phosphorus",352178154.25,261196.21239700002,"China -  Pig iron, non-alloy, <0.5% phosphorus"
17,156,China,566,Nigeria,39, Polyethylene - specific gravity <0.94 in primary form,339559459.955,341069.683283,China -  Polyethylene - specific gravity <0.94 in primary form
18,156,China,566,Nigeria,38, Artificial graphite,326768616.369,155895.23763800002,China -  Artificial graphite
19,643,Russian Federation,566,Nigeria,27," Anthracite, not agglomerated",308877023.678,27758.795,"Russian Federation -  Anthracite, not agglomerated"
20,124,Canada,566,Nigeria,10, Durum wheat,280191571.944,285727.087644,Canada -  Durum wheat
21,276,Germany,566,Nigeria,84, Nuclear reactors,260445893.875,70780.804076,Germany -  Nuclear reactors
22,356,India,566,Nigeria,84, Nuclear reactors,256874325.467,82383.15545399999,India -  Nuclear reactors
23,840,United States of America,566,Nigeria,10, Durum wheat,250605032.697,242519.374446,United States of America -  Durum wheat
24,826,United Kingdom,566,Nigeria,27," Anthracite, not agglomerated",244276822.436,176002.998529,"United Kingdom -  Anthracite, not agglomerated"
25,682,Saudi Arabia,566,Nigeria,39, Polyethylene - specific gravity <0.94 in primary form,234704110.437,186225.948114,Saudi Arabia -  Polyethylene - specific gravity <0.94 in primary form
26,380,Italy,566,Nigeria,84, Nuclear reactors,230000603.78,22557.316858,Italy -  Nuclear reactors
27,840,United States of America,566,Nigeria,84, Nuclear reactors,216954598.836,72880.91989800001,United States of America -  Nuclear reactors
28,156,China,566,Nigeria,73, Sheet piling of iron or steel,201178059.258,190728.93198300002,China -  Sheet piling of iron or steel
29,682,Saudi Arabia,566,Nigeria,27," Anthracite, not agglomerated",179958166.287,194548.245184,"Saudi Arabia -  Anthracite, not agglomerated"
30,156,China,566,Nigeria,40," Natural rubber latex, including prevulcanised",174112837.597,128942.55533,"China -  Natural rubber latex, including prevulcanised"
31,528,Netherlands (Kingdom of the),566,Nigeria,03," Ornamental fish, live",169441149.938,94191.958,"Netherlands (Kingdom of the) -  Ornamental fish, live"
32,156,China,566,Nigeria,29, Saturated acyclic hydrocarbons,153875966.826,110920.05470800001,China -  Saturated acyclic hydrocarbons
33,356,India,566,Nigeria,30," Glands and other organs, dried, for therapeutic uses",152497461.721,37068.801404,"India -  Glands and other organs, dried, for therapeutic uses"
34,156,China,566,Nigeria,28, Chlorine,142632014.489,159111.9065,China -  Chlorine
35,410,"Korea, Republic of",566,Nigeria,39, Polyethylene - specific gravity <0.94 in primary form,136556444.429,94191.355477,"Korea, Republic of -  Polyethylene - specific gravity <0.94 in primary form"
36,156,China,566,Nigeria,90," Optical fibres, except for telecommunications",135859403.62,119911.317617,"China -  Optical fibres, except for telecommunications"
37,840,United States of America,566,Nigeria,39, Polyethylene - specific gravity <0.94 in primary form,130069665.137,130512.185507,United States of America -  Polyethylene - specific gravity <0.94 in primary form
38,826,United Kingdom,566,Nigeria,84, Nuclear reactors,124787537.896,25631.193913,United Kingdom -  Nuclear reactors
39,528,Netherlands (Kingdom of the),566,Nigeria,84, Nuclear reactors,123613035.589,2994.877823,Netherlands (Kingdom of the) -  Nuclear reactors
40,826,United Kingdom,566,Nigeria,85, Electric motors of an output < 37.5 watts,121328044.34,16266.695095000001,United Kingdom -  Electric motors of an output < 37.5 watts
41,554,New Zealand,566,Nigeria,04, Milk not concentrated nor sweetened < 1% fat,119824166.827,36363.903,New Zealand -  Milk not concentrated nor sweetened < 1% fat
