int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,36,24,2007,2005,2007,2007,76908539,69584421,399,1448,1898,1880,67,5049
General cargo,300,112,1989,1990,1992,1992,484651166,598272116,459,548,585,584,133,9981
Oil tanker,624,74,2004,2006,2006,2006,1541991094,2417812670,258,710,399,400,1018,76460
Bulk carrier,37,10,1981,1981,1982,1982,52326621,66416586,492,440,541,540,29,2147
Chemical tanker,69,27,2011,2010,2012,2012,156001003,223842046,513,473,485,486,82,6153
Ro-Ro,130,7,1998,2001,2000,2000,237110150,162269302,211,226,236,236,81,6230
Miscellaneous - fishing,5,3,1992,1996,1995,1996,14705104,7711567,3485,4088,2296,2568,23,1747
Offshore,5,2,1985,1988,2002,2002,27499087,28946624,5071,5742,6537,6313,51,3850
Refrigerated bulk,2,1,1995,1995,1995,1995,6533811,6519634,886,886,886,886,10,719
Ferry-RoPax,356,10,1993,1991,1990,1989,1053485510,409563576,212,239,291,294,504,37998
Service - other,3,3,1985,1985,1985,1985,17486151,5269268,2637,4091,4147,3794,30,2237
Ferry-pax only,1,1,1988,1988,1988,1988,44125,4498,107,107,107,107,0,6
