int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,36,24,2007,2005,2008,2008,47346716,42717120,301,1105,1169,1154,55,4130
General cargo,300,112,1989,1990,1993,1993,486320567,607768572,336,489,587,593,120,9054
Bulk carrier,37,10,1981,1981,1981,1981,26976836,34345972,210,264,279,279,28,2109
Oil tanker,624,74,2004,2006,2006,2006,1532151368,2416931714,246,436,396,400,1064,79956
Chemical tanker,69,27,2011,2010,2012,2012,130329783,186796292,359,395,406,405,166,12463
Ro-Ro,130,7,1998,2001,2001,2001,237031288,161903230,190,209,236,235,84,6507
Miscellaneous - fishing,5,3,1992,1996,1989,1989,9013995,4736241,997,1817,1407,1577,12,875
Offshore,5,2,1985,1988,1975,1974,1579897,1782558,290,261,376,389,10,772
Ferry-RoPax,356,10,1993,1991,1990,1989,1070353254,413500925,192,227,296,297,395,29872
Refrigerated bulk,2,1,1995,1995,1995,1995,3449857,3442372,468,468,468,468,4,300
Service - other,3,3,1985,1985,1986,1984,2713130,862113,750,602,643,621,5,397
Ferry-pax only,1,1,1988,1988,1988,1988,1136693,115876,2759,2759,2759,2759,2,152
