dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,3,3,1982,1982,1981,1981,3018329,3856300,170,385,385,387,5,364
Service - tug,24,8,2006,2007,2007,2007,87863044,77376698,845,3592,3333,3345,82,6192
Ferry-RoPax,4,3,1986,1986,1986,1986,81546806,28131868,1327,1629,1780,1780,23,1778
Oil tanker,57,14,2011,2010,2011,2011,168515482,249933631,362,394,621,627,271,20352
General cargo,9,6,1992,1993,2002,2001,7208465,8809114,151,182,239,239,2,187
Miscellaneous - fishing,5,2,2008,2000,2009,2011,4772633,2718245,1693,1152,1055,1170,15,1135
Chemical tanker,1,1,2013,2013,2013,2013,461834,638468,91,91,91,91,1,47
Offshore,2,1,1969,1969,1969,1969,240262,274832,173,173,173,173,2,116
