dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - other,107,7,2008,2011,2010,2008,16870082,10067226,131,603,302,316,74,5562
Container,68,18,2005,2004,2007,2007,290684250,346654963,63,73,154,150,125,9595
Offshore,42,4,2000,2006,1993,1984,5484805,5015661,268,512,331,246,67,5068
Bulk carrier,6,6,2004,2004,2006,2007,10624526,18747271,51,56,57,57,5,419
Oil tanker,148,26,2008,2010,2009,2009,75471863,112700147,69,24,37,34,192,14602
Vehicle,10,10,2011,2011,2012,2012,30319067,10451398,53,52,54,54,4,272
Service - tug,372,41,2012,2007,2009,2010,49813628,47009115,89,806,362,508,190,14296
Chemical tanker,6,6,2013,2013,2013,2013,3397612,5559606,16,19,19,19,6,459
General cargo,6,6,2002,2002,2002,2001,9345551,13881884,215,2236,198,208,4,290
Ro-Ro,17,12,2011,2011,2011,2010,8998751,13334879,463,642,670,684,22,1651
Ferry-RoPax,1,1,1979,1979,1979,1979,1684795,344617,3191,3191,3191,3191,1,110
