int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Refrigerated bulk,48,31,1989,1990,1990,1989,761550341,892173010,4330,4280,3902,3934,756,57169
Miscellaneous - fishing,65,37,2000,2000,1999,1998,1063160605,920890505,5567,10360,7326,8396,509,38229
Container,43,10,2009,2008,2007,2007,414970679,537307287,740,915,721,750,99,7592
General cargo,12,4,2005,2006,2005,2005,442464626,454436212,2786,1756,2613,2612,58,4503
Chemical tanker,1,1,1998,1998,1998,1998,19222225,29993766,4928,4928,4928,4928,8,616
Oil tanker,3,3,1997,1997,1997,1997,333037391,562478895,18910,18949,19253,19415,94,7200
Cruise,2,2,2002,2002,1999,1999,89368127,11370563,1008,1008,1015,1016,22,1670
