dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,219,22,1993,1992,1989,1990,29642107,21685420,207,454,584,628,132,9915
Chemical tanker,362,39,2005,2007,2006,2006,527769904,806327669,208,317,288,289,239,18304
General cargo,300,115,1985,1992,1990,1994,541970942,662150573,398,525,670,602,195,14743
Ferry-pax only,1134,28,1997,1993,1996,1994,664514273,78166448,642,1354,1270,1219,731,54891
Bulk carrier,175,22,1981,1988,1988,1989,271286207,412959932,382,411,493,490,81,6197
Miscellaneous - fishing,1123,35,1991,1988,1991,1990,120629759,78310895,163,744,595,569,475,35634
Cruise,364,46,2000,2000,2004,2004,1751714996,201419906,225,206,213,219,595,45512
Container,52,18,2005,2004,2004,2004,185620013,219070721,274,242,216,222,36,2793
Ferry-RoPax,693,39,1996,1994,1996,1995,4223914976,1112002304,546,1886,1566,2009,2018,152564
Service - other,110,7,1999,1993,2004,2009,57488305,40367914,362,618,1011,1337,98,7361
Offshore,21,6,2009,2006,2012,2013,25403089,12622934,480,2866,961,836,68,5143
Refrigerated bulk,3,2,2007,2009,2011,2011,7942570,8335394,299,692,573,561,9,658
Oil tanker,2,2,2006,2006,2006,2006,16730786,29576534,196,196,198,198,1,106
Liquefied gas tanker,5,1,1991,1991,1991,1991,10052477,12041025,92,92,665,665,5,406
