int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,57,32,1996,1995,2000,2001,42229326,30579004,239,1134,1172,1128,58,4326
Chemical tanker,151,97,2006,2007,2006,2006,2647039754,4266918856,736,1134,1144,1147,556,42901
General cargo,814,399,1992,1996,1996,1997,3302472123,4319720825,726,929,1079,1056,824,62809
Bulk carrier,330,103,1981,2003,2008,2008,8707298940,15835450743,242,2263,2724,2849,805,62069
Ferry-pax only,114,28,1993,1993,1992,1992,66012680,11943891,284,3350,1468,1346,182,13636
Container,365,84,2007,2006,2008,2008,4004616803,4539613019,161,409,264,275,634,48888
Oil tanker,105,79,2007,2007,2008,2008,12964939975,24206279366,1330,2021,2000,2008,1452,112468
Miscellaneous - fishing,36,36,1989,1989,1994,1993,35516704,23720208,800,6098,5579,5566,189,14183
Cruise,458,72,2001,2001,2002,2002,11022692732,1145907849,253,426,461,460,2661,205548
Ro-Ro,5,5,1999,1999,2002,2002,29598044,24174619,390,583,320,325,43,3316
Ferry-RoPax,327,42,1981,1993,1990,1993,2364230022,690487032,128,2037,545,979,757,57743
Service - other,14,12,1988,1991,1987,1986,36368157,42712660,152,2739,609,499,36,2710
Liquefied gas tanker,16,9,2001,1999,2007,2007,553671874,658425123,1770,2643,4954,5014,106,8190
Refrigerated bulk,6,6,1998,1998,1994,1994,61985885,70631245,1280,1302,1316,1308,44,3298
Offshore,17,6,2007,2004,2008,2009,5497745,2419694,1010,1433,1302,1055,24,1832
