Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cruise,1538,101,65172,6037,2001,2003,2005,2004,283,605,448,433,22,43,50,49,9,14,12,12,12971.2,993096,1012164,14474482,95771437,112569633,9411,55015,61589
Container,924,194,128008,147251,2002,2005,2006,2006,890,3473,2970,2952,70,244,476,475,17,23,21,21,14792.6,1143009,1164954,88644265,249297359,284531286,95935,314966,367821
Ro-Ro,910,20,629,484,1996,1998,1999,1997,195,608,553,347,21,49,352,240,8,9,17,23,488.6,36906,37615,1129373,7158387,3715559,1241,3003,4032
Oil tanker,416,265,49718,91927,2006,2008,2008,2008,1239,2356,2578,2612,198,315,604,613,42,73,83,83,6012.0,462459,471338,44989383,84209545,98233342,108148,272021,335562
General cargo,280,63,1632,2093,1993,2004,2003,2003,356,1215,1118,1142,31,168,269,265,25,82,90,89,327.0,24956,25435,1560820,4997415,7153012,5574,25903,34579
Chemical tanker,247,172,8966,14859,2009,2009,2009,2010,1176,1484,1473,1471,152,190,253,253,42,57,62,62,1557.3,119717,122016,3612486,22529051,26092244,14625,106782,130831
Bulk carrier,135,65,3768,6371,1997,2006,2005,2006,859,1567,1088,1088,91,218,307,309,29,92,75,77,382.9,29319,29882,2234671,5234399,6653116,16553,61556,74595
Service - tug,103,39,43,37,1986,1992,1999,1999,310,887,987,950,50,532,530,389,76,186,177,143,104.4,7837,7988,954863,2257963,3023291,9271,23938,32321
Vehicle,59,37,6126,2117,2006,2009,2006,2006,975,2063,1971,2069,76,160,323,330,12,27,22,23,364.0,28134,28674,2143888,9452249,10946668,36337,138117,148644
Service - other,42,25,355,183,1991,1997,2001,2002,502,2335,2375,2456,74,447,1347,1409,156,341,311,348,131.5,9894,10084,1277765,2621694,2825034,30423,67696,76439
Liquefied gas tanker,33,21,996,1046,2006,2009,2012,2012,1155,1550,1510,1560,107,168,218,227,41,48,47,49,168.8,12553,12794,409681,1962100,1819929,12415,86301,124581
Ferry-pax only,26,3,11,3,1999,1975,2000,2000,181,668,185,183,20,71,24,24,6,9,8,8,5.8,434,442,89585,244267,315656,3446,9428,12471
Ferry-RoPax,16,2,90,6,1996,1998,1994,1994,689,766,1839,1776,114,130,1326,1317,31,34,18,19,73.1,5486,5591,39509,96093,119060,2469,5303,5203
Refrigerated bulk,1,1,16,17,1992,1992,1992,1992,1231,1231,1231,1231,76,76,76,76,27,27,27,27,5.8,440,449,50877,111169,125222,50877,108419,117060
Miscellaneous - fishing,1,1,0,0,1996,1996,1996,1996,1475,1475,1475,1475,165,165,165,165,232,232,232,232,1.0,75,76,1785,3959,4501,1785,4201,4979
