Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Freeport,2109,777,112356,158680,2000,2006,2007,2008,576,1818,1214,1657,51,182,376,448,14,65,43,44,14891.8,1145430,1167422,86563442,225308605,259501588,41045,127831,154217
Nassau,1117,131,32863,5710,2000,2005,2007,2006,270,865,445,625,19,78,76,382,8,24,12,21,6212.4,478058,487236,6735940,45014908,54312272,6030,36378,42487
Great Harbour Cay,340,52,9808,3157,2004,2003,2005,2007,202,830,525,1182,18,129,109,267,8,28,16,29,1736.0,133348,135909,3704836,16414781,17577505,10897,44986,49814
Little San Salvador,199,25,7996,814,2003,2002,2004,2004,386,484,445,453,24,36,36,38,7,8,7,7,1769.5,136423,139042,3226104,14768413,15868751,16212,65618,66410
Marsh Harbor,176,20,1341,1223,1987,1998,2002,2006,234,1579,2851,2337,24,138,618,704,7,15,14,18,156.5,11962,12192,969946,3892748,3276652,5511,16577,19677
Clifton Pier,148,55,1431,2328,1992,2003,2010,2010,603,1018,1214,1218,78,92,104,103,20,29,34,34,248.0,18961,19325,1180008,4302367,4974922,7973,36886,45472
Harbour Island,95,24,1723,2169,2003,1997,2005,2006,221,1523,2233,3947,25,143,388,514,13,20,4,4,209.6,16079,16388,1139410,3387684,3686354,11994,37938,46462
Gorda Cay,83,18,6125,1154,2006,2001,2007,2005,759,1630,795,1479,41,137,82,331,8,8,9,9,1173.4,90434,92170,869965,7180317,9111740,10482,82899,101779
Matthew Town,82,35,437,649,2004,2006,2009,2009,518,613,722,739,66,79,101,101,14,31,46,45,68.4,5237,5338,530721,1514868,2019161,6472,25585,32096
Rock Sound,74,13,958,102,2002,2003,1996,1996,236,363,613,535,28,32,47,46,3,5,9,8,246.3,18831,19192,587759,2248086,2035768,7943,24746,23182
Great Exuma Island,54,11,14,22,2004,2004,2005,2006,305,298,313,314,38,40,55,56,3,10,8,8,19.4,1460,1488,53872,388144,193855,998,2585,3635
South Riding Point,50,46,8260,15504,2008,2008,2012,2012,1170,2256,3009,3115,120,230,552,564,24,36,45,46,657.0,50754,51728,5783336,11406379,12760163,115667,305805,378539
San Andros,50,9,5,8,2004,2002,2002,2003,146,210,192,184,19,29,44,40,4,6,7,7,13.4,1006,1026,33921,219997,119743,678,1678,2361
West End,49,41,4812,4506,2004,2005,2011,2009,1049,1673,2000,2175,91,156,488,504,7,12,7,10,533.2,38301,39036,1942802,7991166,8839476,39649,191385,259275
Cape Eleuthera,48,10,2058,206,2003,2004,2003,2003,393,442,421,423,40,38,35,36,7,6,7,7,418.0,32105,32721,378986,3026113,3641277,7896,55751,64654
The Bight,27,10,1213,1275,2003,2001,2013,2012,340,1731,6932,5984,49,206,975,882,5,11,17,26,86.2,5928,6042,330154,1918945,1642665,12228,84558,125668
Cockburn Town,24,15,799,792,2004,2003,2006,2005,459,1290,1701,1843,60,123,291,357,2,3,2,4,71.5,5499,5604,473032,1466840,1605726,19710,64738,73637
Bock Cay,14,9,87,12,2006,2006,2009,2008,346,409,371,389,45,45,22,37,12,14,33,24,19.4,1486,1514,13914,197293,172449,994,8129,11596
Congo Town,13,4,5,8,2000,1985,1981,1979,274,894,784,965,52,169,351,384,3,8,20,22,3.7,274,280,27465,102176,105422,2113,6449,9213
Green Turtle Cay,7,6,374,206,1994,1996,2003,2004,321,2846,6814,4415,29,159,273,278,13,124,630,572,76.0,5871,5984,220556,453418,529039,31508,79900,88555
Stella Maris,7,4,10,13,1993,1994,1999,1999,438,2304,2897,2871,45,231,1182,1181,17,36,149,148,4.2,315,321,58847,10506,16128,8407,21827,27788
