Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Nassau,975,59,5126,640,1999,1999,2001,1999,130,216,197,187,14,34,25,27,13,19,17,26,1510.8,115942,118168,2312012,11270927,10936266,2371,9064,9893
Freeport,480,94,2381,1088,1997,2004,2003,2004,122,277,203,227,14,69,61,160,7,63,24,39,687.2,52916,53932,1523458,6163744,6477310,3174,11618,13628
Clifton Pier,261,41,219,333,1996,2003,2008,2009,157,421,242,254,19,208,59,49,18,36,38,40,121.4,9203,9379,374512,596657,702902,1435,4947,6253
Great Harbour Cay,186,46,3422,508,1999,2000,1999,2001,102,250,331,299,12,52,97,218,9,23,27,45,701.8,54063,55101,1663847,6220508,6250703,8945,30176,29249
Marsh Harbor,181,19,46,57,1988,1999,1990,1993,130,205,156,148,15,33,45,58,18,20,40,35,68.1,5120,5218,172425,823408,418000,953,2385,3236
Great Exuma Island,177,15,17,24,2010,2002,2009,2009,143,198,170,168,17,38,30,30,7,9,11,11,48.6,3652,3722,92188,518082,252637,521,1299,1796
Gorda Cay,136,25,1901,622,2007,2004,2008,2007,113,264,135,314,15,73,34,120,8,15,12,23,375.6,29090,29648,380382,2271361,2833908,2797,16049,20064
Harbour Island,123,22,45,42,1999,2000,2000,2006,90,208,140,117,11,33,51,64,20,18,22,26,44.7,3369,3434,81937,183994,138104,666,1787,2205
Little San Salvador,91,22,1026,146,1997,2000,1999,2001,175,273,186,224,16,57,26,150,7,11,7,7,260.5,20164,20551,370248,1778908,1927810,4069,17584,18407
Rock Sound,89,11,80,14,2003,1997,1998,1998,106,168,209,163,12,17,18,21,7,10,10,11,33.6,2571,2621,56810,259459,206321,638,2115,2380
The Bight,79,13,12,16,2010,2003,2007,2007,126,228,214,212,15,23,39,41,9,10,9,8,20.9,1571,1601,40765,197693,126150,516,1446,1941
Green Turtle Cay,57,4,5,7,1998,1993,1996,1995,150,341,190,197,38,49,50,50,3,36,21,22,7.6,570,581,26873,37349,53933,471,1365,1852
Bock Cay,44,13,9,13,1997,1999,2000,1999,168,718,425,395,21,84,289,267,14,15,25,26,11.0,829,845,57623,135040,91555,1310,3392,4497
Cockburn Town,41,15,40,50,2003,2002,2006,2008,177,244,338,488,20,31,68,82,6,12,59,77,13.0,986,1005,36971,164145,135153,902,3612,4588
Stella Maris,40,13,4,5,1997,1999,1998,1998,173,186,201,198,20,22,38,40,10,16,12,11,7.4,552,563,22980,63246,47533,575,1516,2040
Cape Eleuthera,36,15,322,57,2000,1998,2002,2000,182,372,191,234,16,31,20,35,8,14,9,7,116.4,8920,9091,80994,552619,695491,2250,14520,17899
San Andros,33,12,8,12,2002,1998,2001,2001,111,196,124,123,16,38,62,63,8,12,12,12,5.6,425,433,18807,102269,66329,570,1604,2227
South Riding Point,33,20,367,505,2005,2006,2009,2011,141,261,164,260,35,156,188,255,6,30,36,41,64.6,4985,5080,220640,534546,673595,6686,22133,28578
Congo Town,27,8,4,7,2003,2002,2001,2000,115,122,79,77,14,16,21,21,12,18,11,10,5.9,445,453,10278,54867,29097,381,1023,1393
Matthew Town,24,11,13,7,2006,2005,2000,2003,265,265,225,251,38,40,31,36,4,4,3,5,7.5,567,578,18987,114957,69300,791,2174,2932
West End,13,13,283,144,2003,2003,2001,2006,222,376,641,293,50,77,62,162,17,25,80,40,57.8,4478,4564,219277,627059,654425,16867,48749,50068
