Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Nassau,1044,63,6725,806,2000,2001,2001,2000,121,224,189,176,15,139,51,47,8,14,14,19,1639.0,126131,128552,2602873,12987019,13252291,2493,10155,11151
Freeport,477,106,2512,1957,1997,2004,2004,2007,130,317,244,312,15,82,95,188,14,48,25,40,670.1,51546,52536,1814321,6508798,6739910,3804,13088,15554
Clifton Pier,226,32,82,129,1994,2003,2008,2008,151,247,174,173,19,68,42,41,20,29,33,32,78.6,5939,6053,218213,246271,290227,966,2959,3753
Great Harbour Cay,224,45,2665,421,2002,2001,2002,2003,108,249,217,215,14,31,31,37,11,38,31,36,554.7,42721,43541,1145875,4601230,4763625,5116,18477,18874
Marsh Harbor,183,21,46,48,1988,1998,1984,1984,131,210,194,178,14,38,68,49,11,25,26,32,57.7,4335,4418,192154,929585,477927,1050,2615,3549
Great Exuma Island,162,15,44,68,2010,2003,2008,2008,144,271,415,438,17,112,829,885,10,15,36,34,95.6,7185,7323,114217,518468,306483,705,2009,2708
Harbour Island,134,22,43,37,1999,1997,2000,2005,132,189,178,173,14,27,91,147,17,17,23,36,50.5,3801,3874,97183,223757,158020,725,1934,2444
Little San Salvador,105,18,1423,138,1997,1998,2000,2000,181,183,193,191,16,15,16,17,8,29,14,16,393.9,30503,31089,497540,2396496,2595173,4738,20335,21015
The Bight,87,18,66,96,2009,2002,2002,2003,144,416,561,527,14,73,286,309,18,14,23,20,59.1,4456,4541,108768,464721,372064,1250,4083,5358
Rock Sound,85,13,293,33,2002,1998,1997,1997,118,176,247,214,12,16,18,19,18,35,32,33,117.9,9072,9246,191393,682866,615114,2252,6836,6448
Green Turtle Cay,59,6,10,13,1997,1992,2002,2001,160,247,226,228,22,28,26,26,84,93,192,183,14.0,1051,1072,30253,55767,73998,513,1598,2184
San Andros,51,14,7,10,2003,1999,2002,2002,95,156,91,87,13,20,23,21,4,18,9,9,8.4,631,643,29589,166234,101185,580,1488,2064
Stella Maris,42,12,8,11,1997,2000,1999,1999,201,367,400,392,22,43,124,121,12,30,59,62,17.6,1320,1345,44432,84918,60255,1058,2787,3684
Cape Eleuthera,42,11,594,65,2000,1998,2001,2001,248,247,247,246,17,28,17,18,8,30,9,10,199.1,15300,15594,156108,1008055,1172000,3717,21293,24047
Cockburn Town,38,15,248,49,2003,2000,1999,2001,191,421,1381,489,25,32,40,38,14,35,108,64,60.9,4665,4755,180471,645011,572038,4749,14371,14017
Bock Cay,38,11,6,9,1996,1998,2000,1999,149,563,315,322,16,27,57,60,16,59,121,124,12.8,959,977,41136,65835,46404,1083,2806,3669
Gorda Cay,37,15,308,62,2004,2001,2006,2008,118,190,131,152,16,26,21,83,8,111,14,27,68.0,5256,5357,95100,477208,534984,2570,11580,13354
Matthew Town,33,10,23,31,1994,2002,2005,2006,331,383,440,546,35,39,51,55,16,25,32,35,16.1,1215,1238,30148,139899,114959,914,3326,4306
Congo Town,27,7,2,3,2003,2001,2002,2001,111,182,167,179,15,34,111,125,8,22,19,19,5.6,417,426,11391,52772,34664,422,1146,1602
South Riding Point,19,13,149,233,2006,2007,2007,2007,114,194,182,196,69,106,137,151,14,28,40,46,29.0,2238,2281,109552,247106,318926,5766,18653,23653
West End,13,12,78,80,2000,2002,2005,2010,185,190,179,156,41,64,92,137,11,24,21,19,21.7,1678,1710,71294,168821,186272,5484,14934,17059
