Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
United States of America,3504,613,77764,56218,1999,2005,2005,2007,226,968,493,850,24,157,120,221,10,54,31,56,14216.5,1083137,1103933,42021774,146727296,166532503,11993,43475,50871
Turks and Caicos Islands,191,24,1797,301,1992,1995,2000,1997,419,484,365,410,44,63,26,50,9,20,7,17,501.2,38650,39392,1006857,3936815,3992833,5272,20072,23841
Mexico,126,79,10411,9110,2002,2004,2006,2005,1184,1337,1296,1281,103,164,132,152,26,60,35,48,1351.3,104184,106185,5842847,18037786,21197423,46372,157340,187241
Jamaica,75,38,3877,1787,2007,2006,2009,2007,725,938,750,1030,52,171,83,181,9,77,18,43,547.8,42353,43166,1313202,5571964,6892698,17509,76566,93960
Virgin Islands (U.S.),73,24,7227,1364,2009,2008,2011,2009,852,1104,865,996,45,146,56,115,9,53,15,50,1152.0,88574,90274,401110,8107227,11371748,5495,104823,144501
South Africa,51,15,11796,16275,2008,2006,2008,2008,7007,7007,7102,7195,430,504,528,568,17,15,17,16,1791.8,138574,141234,11370191,35414817,39761032,222945,764064,912134
Spain,47,40,15665,19501,2005,2006,2006,2006,4234,4201,4218,4202,281,332,294,305,20,29,26,28,1654.2,128121,130581,10041643,25981340,29930256,213652,682739,801163
Dominican Republic,47,38,1488,1784,2001,2006,2008,2008,927,1091,923,1052,89,116,142,170,27,104,33,38,233.4,18039,18385,1028822,3817570,4280351,21890,91536,108571
China,37,26,32551,36733,2007,2007,2007,2007,11919,10661,11202,10915,707,666,726,727,17,18,19,19,3378.6,261712,266737,19116563,54270423,62696304,516664,1770389,2072561
Portugal,34,17,8793,10059,2003,2002,2004,2004,3592,3484,3608,3606,208,250,213,214,13,37,17,18,1101.1,85286,86924,6550644,16885738,19111607,192666,577359,666360
Panama,32,27,2187,2637,2003,2003,2005,2005,1300,1840,1445,1426,114,295,348,289,40,59,46,46,286.7,22094,22518,2210960,5559347,6232829,69092,195695,226082
Canada,32,28,2508,4336,2006,2006,2007,2007,2438,2234,2251,2237,280,263,291,290,95,103,108,108,444.6,33792,34441,3141809,6041541,7903390,98182,260945,328979
Ecuador,31,9,2928,3413,2002,2002,2002,2002,2084,2097,2101,2101,151,151,156,156,27,26,26,26,439.2,34017,34670,2713134,7287678,8189344,87520,258483,299428
Venezuela (Bolivarian Republic of),30,28,2229,4005,2008,2008,2008,2008,1464,1534,1560,1563,200,224,247,248,130,172,238,241,524.8,40655,41435,1890879,4561273,5113291,63029,181082,224878
Cuba,29,14,480,141,1992,1993,1997,2002,423,485,419,454,38,54,35,48,14,23,15,9,112.2,8672,8838,224811,1031747,1207812,7752,32517,35507
Colombia,27,21,2071,1758,2005,2005,2006,2011,1135,1255,1152,1371,97,134,135,213,7,66,21,37,312.9,24226,24691,1225993,3711943,4152475,45407,147086,165548
Cayman Islands,20,14,950,531,2007,2006,2010,2013,913,933,925,1025,72,89,73,110,22,22,17,36,160.3,12407,12645,299612,1802461,2043793,14981,88782,102509
Haiti,20,18,715,544,2006,2006,2006,2009,736,788,689,876,92,126,100,173,32,59,38,73,122.8,9504,9687,107364,1136636,1423261,5368,61162,78143
Bermuda,19,18,691,369,2001,2002,2006,2007,924,942,959,938,76,86,87,84,11,14,11,19,71.5,5536,5642,292304,1205078,1371613,15384,61146,67823
Antigua and Barbuda,19,19,696,901,2010,2010,2011,2009,1115,1150,1124,1152,104,121,112,127,83,81,67,84,139.1,10762,10968,383227,1635390,1891131,20170,101596,123826
Aruba,18,6,1273,336,2001,1999,2003,1999,894,1174,971,1049,48,109,64,111,8,33,11,31,316.1,24460,24930,886497,3149295,3230466,49250,165601,163278
Trinidad and Tobago,18,13,1202,2121,2005,2004,2009,2010,1488,1710,2097,2132,182,277,373,383,44,44,27,26,148.0,11417,11636,943789,2160061,2507884,52433,154000,189000
Puerto Rico,17,13,820,182,2007,2005,2010,2013,806,814,751,874,46,85,52,96,9,9,9,8,181.0,13957,14225,392576,1705632,1809345,23093,91518,92948
Belgium,17,16,3815,4635,2006,2006,2006,2006,4155,4203,4208,4187,269,323,328,363,22,37,37,43,517.6,39919,40685,3191305,8321967,9196330,187724,558658,656811
France,15,14,3194,3368,2006,2007,2007,2007,4037,4408,4269,4297,300,317,318,341,21,36,31,36,455.8,35258,35935,1925716,5697028,6555490,128381,430142,513634
Hong Kong,14,12,16521,18758,2005,2005,2005,2005,12444,12352,12357,12354,774,758,756,756,12,11,12,12,1655.4,128230,130692,8453713,24792116,29020996,603837,2220943,2621522
Netherlands,13,13,3166,4292,2010,2010,2013,2012,4179,4268,4239,4229,333,338,288,299,36,41,33,34,327.2,25246,25731,2099855,5690429,6509310,161527,547743,653412
Singapore,12,12,13124,19929,2007,2007,2007,2008,12168,11744,11727,11884,918,929,951,1020,64,69,72,78,1163.5,90129,91860,8135674,18212169,20552092,677973,1973646,2346256
"Korea, Republic of",11,9,5430,6592,2003,2004,2003,2003,9873,8770,9505,9493,617,560,624,624,15,15,16,16,765.5,59296,60435,5236333,13763092,15421775,476030,1377501,1588801
Guadeloupe,9,7,92,147,2005,2005,2005,2005,1294,1393,1386,1387,152,175,184,184,30,28,30,30,33.9,2593,2643,182820,479378,561933,20313,64357,76792
Germany,9,8,2025,943,2005,2006,2005,2004,4368,4073,4426,4468,269,255,280,281,25,26,26,25,153.5,11833,12060,903565,3539378,4075935,100396,356202,389680
United Kingdom of Great Britain and Northern Ireland,9,9,970,1460,2004,2004,2005,2005,3980,4063,4034,4045,364,503,423,426,47,80,57,56,130.3,10027,10219,874741,2132399,2661838,97193,302417,368598
Peru,8,7,945,1651,2011,2010,2012,2012,2866,2905,2887,2883,377,381,363,360,54,55,56,55,133.9,10373,10572,819075,2226006,2498292,102384,332937,406788
Sint Maarten (Dutch part),8,6,1323,127,2008,2006,2009,2008,1520,1386,1397,1429,86,118,83,114,9,12,8,11,235.9,18202,18551,151811,1539859,1945484,18976,174008,213396
Gibraltar,8,8,1225,2156,2010,2010,2009,2009,3931,4019,3999,3993,377,370,367,366,14,14,15,16,117.2,9075,9249,1009074,2122076,2598631,126134,375088,460523
"Bonaire, Sint Eustatius and Saba",8,8,489,773,2010,2010,2011,2012,1092,984,1048,1082,107,112,133,149,78,85,102,119,92.4,7158,7295,407310,987268,1064686,50914,140500,165854
Honduras,8,7,197,64,1994,1993,1992,1996,1058,1265,1705,1221,122,180,170,202,28,174,16,48,63.7,4853,4946,174004,579069,556292,21751,68332,71749
Virgin Islands (British),6,2,199,16,2012,2012,2012,2012,844,1123,1495,1372,316,248,93,162,174,108,12,30,43.0,3291,3354,40817,270988,383458,6803,43894,61368
Barbados,6,3,112,85,2001,1994,1996,2007,1453,1453,1476,1520,200,147,173,247,20,15,18,27,32.5,2486,2534,108885,381781,468649,18147,65252,76749
Costa Rica,6,6,73,72,2011,2011,2003,2003,1298,1197,1102,1087,424,802,135,106,22,500,48,30,24.3,1857,1893,76210,263980,286745,12702,43030,51562
Malaysia,6,6,6181,7967,2008,2008,2008,2008,10672,10943,10923,11043,611,684,686,729,19,31,31,37,578.8,44836,45696,3420757,9262035,10780917,570126,1968173,2332049
Mauritius,5,5,3625,6941,1999,1999,2000,2000,9204,9141,9139,9142,1062,1017,1016,1019,12,12,12,12,361.2,27982,28519,2540440,4786912,5392511,508088,1334220,1611760
Curaçao,5,5,197,330,2004,2004,2005,2005,1335,1097,1071,1077,248,185,254,264,33,298,122,42,32.3,2496,2544,210484,469451,555079,42097,116798,143855
Brazil,5,5,1007,1473,2010,2010,2010,2011,4000,4047,4294,4217,379,450,510,533,63,63,65,63,102.2,7915,8067,817473,2026279,2335078,163495,485419,588514
Ireland,4,4,235,329,2007,2007,2012,2013,3949,4033,3808,3796,312,417,306,299,22,23,28,27,31.3,2407,2454,144237,457720,672063,36059,184573,245913
Italy,4,3,263,330,2010,2007,2007,2004,2618,3580,766,4020,228,338,402,535,38,58,54,69,41.8,3229,3291,83554,547205,644014,20888,173553,219661
Japan,4,4,1575,972,2006,2006,2005,2006,9413,7155,9454,9515,602,473,628,623,6,5,5,7,143.5,11119,11332,852622,2925928,3344640,213156,706039,787933
Norway,4,4,272,433,1996,1996,2002,2003,4804,4761,4891,4908,492,1076,604,521,34,140,52,31,44.6,3417,3482,413146,729604,938743,103286,250832,311064
Saint Lucia,3,3,351,662,2011,2011,2014,2014,1431,1440,1436,1435,234,275,254,252,29,24,16,16,52.9,4097,4176,275694,444831,546412,91898,226362,284336
Sweden,3,3,596,719,2007,2007,2007,2007,5018,4804,4694,5005,443,404,385,447,45,41,39,45,55.4,4275,4357,428834,1220439,1500565,142945,482105,581893
Saint Kitts and Nevis,2,2,281,24,2017,2017,2018,2018,985,985,993,991,57,57,53,54,10,10,9,9,40.0,3098,3157,5284,321782,456082,2642,139002,187124
Nigeria,2,2,469,822,2008,2008,2011,2011,2772,2772,4009,4037,313,313,616,616,20,20,24,24,36.4,2822,2876,303731,574737,647465,151866,399769,482654
India,2,2,613,1188,2013,2013,2016,2016,2164,2164,2485,2488,694,694,1089,1089,80,80,61,61,32.0,2474,2521,280530,483425,511064,140265,382747,474516
Australia,1,1,1125,2149,2003,2003,2003,2003,13551,13551,13551,13551,1147,1147,1147,1147,495,495,495,495,120.4,9324,9503,786443,1481883,1669358,786443,2065171,2494762
Sri Lanka,1,1,1014,1041,2007,2007,2007,2007,9401,9401,9401,9401,636,636,636,636,8,8,8,8,86.3,6688,6816,469012,1375467,1610085,469012,1725051,2036188
"Saint Helena, Ascension and Tristan da Cunha",1,1,66,71,2010,2010,2010,2010,4264,4264,4264,4264,337,337,337,337,25,25,25,25,14.0,1084,1105,26705,97507,143969,26705,159780,218195
Ghana,1,1,390,771,2009,2009,2009,2009,4872,4872,4872,4872,480,480,480,480,1,1,1,1,21.1,1631,1662,282243,531826,599108,282243,741159,895333
Togo,1,1,141,229,2003,2003,2003,2003,4978,4978,4978,4978,392,392,392,392,645,645,645,645,46.8,3623,3693,204243,490466,553288,204243,621518,726835
Uruguay,1,1,382,693,2016,2016,2016,2016,6104,6104,6104,6104,530,530,530,530,48,48,48,48,26.8,2073,2113,358269,754480,830837,358269,879959,1099844
Greece,1,1,166,53,2012,2012,2012,2012,2808,2808,2808,2808,184,184,184,184,10,10,10,10,8.3,646,658,53203,234567,271653,53203,202224,217637
Chile,1,1,81,100,2008,2008,2008,2008,3866,3866,3866,3866,498,498,498,498,81,81,81,81,17.1,1308,1333,92558,359053,409703,92558,387558,472907
Poland,1,1,420,818,2016,2016,2016,2016,5160,5160,5160,5160,401,401,401,401,47,47,47,47,37.5,2865,2920,299474,564294,635684,299474,786407,949993
Egypt,1,1,556,670,2007,2007,2007,2007,5900,5900,5900,5900,378,378,378,378,43,43,43,43,56.4,4366,4450,301742,884915,1035858,301742,1109822,1309995
Russian Federation,1,1,24,38,2007,2007,2007,2007,4618,4618,4618,4618,343,343,343,343,27,27,27,27,9.0,688,701,61290,189816,242104,61290,210777,272001
Turkey,1,1,173,299,2013,2013,2013,2013,5752,5752,5752,5752,497,497,497,497,91,91,91,91,17.4,1346,1372,133467,264155,327638,133467,426084,495402
Saudi Arabia,1,1,590,671,2002,2002,2002,2002,6414,6414,6414,6414,368,368,368,368,5,5,5,5,64.5,4994,5090,302380,886787,1038050,302380,1112171,1312766
Morocco,1,1,2,2,2016,2016,2016,2016,365,365,365,365,32,32,32,32,0,0,0,0,0.4,32,33,1625,4707,5198,1625,8895,11697
Latvia,1,1,149,256,2013,2013,2013,2013,4902,4902,4902,4902,404,404,404,404,74,74,74,74,17.3,1327,1352,49472,362302,417727,49472,427219,525179
Libya,1,1,523,1005,2006,2006,2006,2006,9140,9140,9140,9140,1040,1040,1040,1040,28,28,28,28,55.2,4278,4360,519655,1094344,1205096,519655,1276345,1595281
United Arab Emirates,1,1,954,1800,2017,2017,2017,2017,11504,11504,11504,11504,970,970,970,970,195,195,195,195,75.7,5862,5975,658813,1241391,1398441,658813,1730017,2089891
Yemen,1,1,91,102,2010,2010,2010,2010,7105,7105,7105,7105,605,605,605,605,346,346,346,346,26.7,2061,2101,38545,140739,207801,38545,230622,314937
