Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ro-Ro,1251,15,161,203,2000,2003,1992,1992,122,138,156,148,14,17,39,32,8,8,49,45,517.5,38856,39602,735905,5673548,2677294,588,1436,2046
Cruise,685,36,13317,1217,2002,2002,2001,2001,164,292,202,206,15,19,37,36,8,24,18,19,3090.2,238690,243273,4357823,21288277,23158398,6362,27603,28544
Oil tanker,599,40,909,1638,1996,2005,2007,2007,157,292,269,273,21,105,200,206,18,23,30,30,289.8,22110,22534,1369512,1566522,1874244,2286,5769,7250
General cargo,179,7,84,117,2001,1994,2003,2003,144,518,330,336,23,107,103,104,19,55,109,107,29.5,2218,2260,125716,386418,560052,702,2790,3933
Ferry-pax only,171,1,52,14,2002,2002,2002,2002,118,118,121,121,12,12,12,12,16,16,31,31,41.7,3128,3188,388237,1093415,1416324,2270,6333,8381
Container,71,10,244,305,2000,2002,2002,2002,145,593,371,369,14,84,188,190,14,19,44,43,57.1,4371,4455,421004,1240330,1392431,5930,18029,20862
Service - tug,52,10,5,4,1974,1988,1990,1987,222,471,429,402,40,559,1012,851,23,44,221,209,31.4,2355,2400,103659,245121,328204,1993,5147,6950
Chemical tanker,42,32,286,480,2012,2011,2011,2011,183,256,263,263,20,45,51,52,20,37,62,63,62.5,4835,4928,109018,715504,829420,2596,19991,24582
Service - other,28,8,10,6,1985,1992,1997,1995,253,330,279,269,34,108,129,131,8,60,106,115,11.9,894,911,39664,81382,87695,1417,3152,3559
Bulk carrier,22,11,149,261,1995,1997,2003,2004,129,324,217,218,16,213,379,373,18,23,24,23,19.7,1515,1544,83376,195453,251166,3790,14049,17077
Vehicle,14,11,95,30,2004,2006,2005,2005,147,149,148,149,18,17,19,19,6,5,5,5,6.1,473,482,30104,132725,153709,2150,8173,8796
Liquefied gas tanker,12,3,21,24,2002,2001,2002,2003,123,137,146,145,28,20,39,39,16,77,48,46,12.9,973,991,17998,52143,57582,1500,8211,10798
