Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Iceland,415,103,2266,1548,2000,1994,2002,2003,475,1813,491,530,38,231,289,289,6,169,128,107,695.0,52986,54003,5040694,13219163,15214010,12146,32988,38542
Denmark,236,62,2662,1583,1995,1995,1998,1996,753,1653,772,854,46,208,137,123,8,130,124,102,741.3,55857,56930,4623267,15491961,14739172,19590,51682,60526
Norway,195,63,591,493,1988,1992,1994,1995,538,1635,1345,1027,63,248,691,567,15,76,285,230,187.8,14188,14461,2588832,6220357,7549317,13276,34304,43113
United Kingdom of Great Britain and Northern Ireland,82,61,320,172,1991,1991,1989,1994,494,797,523,618,46,103,151,148,20,79,71,108,125.8,9539,9722,632237,1911509,2351727,7710,23183,27824
Russian Federation,59,28,511,461,1993,1992,1992,1993,1557,2453,1833,1719,123,398,368,247,57,216,214,161,309.2,23260,23707,1577097,4376036,4139608,26730,59839,68743
Netherlands,47,25,359,254,1995,1996,1995,1997,785,1146,941,1021,64,134,263,332,15,37,20,29,119.2,9004,9177,815544,2103910,2487985,17352,45795,54138
Sweden,40,12,268,315,2004,2001,2003,2004,749,1305,845,789,48,152,145,91,5,126,99,45,99.8,7532,7676,739044,1877152,2156585,18476,48454,55900
Germany,30,10,275,104,2001,1996,2011,2003,849,1048,1014,942,82,84,77,81,9,45,19,34,61.6,4660,4750,428909,1149492,1301251,14297,40598,45881
Spain,24,24,339,322,1994,1994,1993,1993,2039,2354,2413,2237,218,288,356,299,120,144,203,181,172.2,13063,13314,1134709,2552478,2964358,47280,107892,124119
Greenland,11,11,37,15,1987,1987,1991,1987,1506,2257,2064,2076,177,334,452,424,26,231,131,189,25.2,1893,1929,104836,230656,260849,9531,22297,26303
Lithuania,10,8,52,53,1992,1993,1994,1995,1264,1522,1468,1471,129,128,132,131,74,95,111,117,37.8,2850,2904,156663,342317,385588,15666,33385,36046
Ireland,7,6,32,17,1997,1996,1997,1995,848,1787,1827,1319,61,277,797,447,20,44,71,101,16.4,1240,1264,86216,190393,215870,12317,28172,32570
United States of America,6,2,34,51,1959,1980,2007,2007,158,2382,1244,1277,42,198,353,354,22,21,18,18,13.0,999,1019,25429,87332,126750,4238,22826,30633
Poland,5,5,62,36,1994,1994,1990,1992,1668,2586,2606,1983,199,375,711,545,25,175,426,305,20.6,1558,1588,194939,430942,488920,38988,89782,104431
Latvia,5,5,21,22,1997,1997,1998,1998,1314,1311,1336,1332,142,146,147,147,29,31,32,33,14.4,1082,1102,66098,148124,171666,13220,29391,32997
Svalbard and Jan Mayen,5,5,125,46,1985,1985,1985,1987,2787,3243,2565,3240,602,511,591,678,8,152,251,294,23.5,1787,1822,297840,762458,894072,59568,155488,184364
Canada,4,4,11,6,1984,1984,1984,1984,4177,4537,4609,4279,484,751,729,767,200,515,882,753,13.1,985,1004,41551,92169,104787,10388,24447,28981
Estonia,3,3,23,25,1985,1985,1992,1992,2162,2464,2175,2184,297,294,332,332,48,70,96,96,21.8,1646,1677,81004,175314,196209,27001,57936,63017
France,2,2,4,6,1989,1989,1990,1990,1024,1024,1025,1025,110,110,110,110,4,4,4,4,1.4,104,106,17519,50260,72227,8760,28552,41066
Gibraltar,2,2,27,28,1992,1992,1991,1991,2348,2348,2185,2215,308,308,310,317,228,228,226,222,20.4,1547,1576,84063,183682,206901,42032,89569,96707
Belgium,1,1,5,8,2009,2009,2009,2009,1131,1131,1131,1131,73,73,73,73,33,33,33,33,2.0,152,155,12474,38633,49275,12474,42899,55360
Togo,1,1,32,29,1989,1989,1989,1989,5521,5521,5521,5521,366,366,366,366,9,9,9,9,7.2,560,571,50301,147552,203483,50301,201518,254091
Finland,1,1,14,14,1981,1981,1981,1981,3049,3049,3049,3049,97,97,97,97,214,214,214,214,6.1,458,467,49232,379559,179110,49232,120147,171273
Ecuador,1,1,38,45,1990,1990,1990,1990,7423,7423,7423,7423,1484,1484,1484,1484,38,38,38,38,30.3,2294,2338,134842,294635,331879,134842,287346,310247
Mauritania,1,1,13,15,1990,1990,1990,1990,2488,2488,2488,2488,206,206,206,206,306,306,306,306,10.0,753,768,45165,98687,111162,45165,96245,103916
Nigeria,1,1,18,19,1997,1997,1997,1997,4678,4678,4678,4678,341,341,341,341,67,67,67,67,8.7,665,678,55511,121294,136627,55511,118293,127721
Cuba,1,1,44,49,1993,1993,1993,1993,6047,6047,6047,6047,731,731,731,731,309,309,309,309,26.5,2010,2049,144297,315296,355151,144297,307495,332002
