Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Miscellaneous - fishing,697,91,2785,1790,1993,1991,1995,1997,694,2890,2516,2006,148,516,1258,1219,36,162,454,390,1161.6,87567,89248,12585487,27917035,31738842,18057,42496,50376
General cargo,152,13,73,97,1980,1985,1981,1981,336,355,325,328,30,37,80,83,22,30,53,53,43.7,3290,3354,270840,779432,1113665,1782,5994,8444
Service - other,48,4,19,23,1979,1984,1989,1987,317,671,901,859,42,118,667,775,22,42,54,61,34.2,2565,2615,162543,333503,359369,3386,7535,8508
Ferry-RoPax,25,2,1161,244,2001,1992,2005,2005,2104,1555,4304,4302,103,146,646,653,82,78,232,237,381.5,29279,29841,1604129,3932555,4849880,64165,137401,130238
Refrigerated bulk,19,12,62,66,1993,1992,1993,1993,522,461,600,597,21,29,54,53,92,108,82,82,52.2,3954,4030,195976,428217,482347,10315,21980,23732
Service - tug,15,1,1,0,1999,1999,1999,1999,196,196,188,188,196,196,514,514,57,57,89,89,8.1,607,619,7822,18496,24766,521,1346,1818
Ro-Ro,12,2,22,22,1981,1980,1981,1981,309,309,406,406,18,18,26,26,10,10,49,50,10.0,759,773,78126,602325,284232,6511,15888,22650
Chemical tanker,6,5,5,8,2009,2009,2010,2010,86,147,134,138,16,17,20,20,8,15,23,23,3.0,226,231,10523,31246,38491,1754,5764,7113
Cruise,2,2,1,0,1976,1976,1967,1965,240,240,202,233,23,23,29,31,4,4,5,5,0.6,48,49,1155,6521,14179,577,3335,6446
Bulk carrier,1,1,1,2,1979,1979,1979,1979,428,428,428,428,61,61,61,61,18,18,18,18,0.7,50,51,4061,9210,11096,4061,12244,15282
