Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Torshavn,463,91,4012,2378,1999,1996,2000,2000,568,1519,541,593,40,234,154,159,5,143,63,63,1068.4,80971,82525,6171143,20844627,20591531,13329,36841,42520
Runavik,123,71,1393,1045,1994,1993,1993,1995,1244,2523,1978,1774,119,296,481,428,101,255,429,347,633.9,47927,48847,4686105,10549455,12082481,38098,89336,103485
Klaksvik,109,68,550,458,1991,1991,1991,1993,815,1708,1501,1396,83,222,426,389,22,128,132,117,266.7,20130,20516,1853702,4581524,5249227,17006,42598,50914
Fuglafjordur,86,52,470,300,1997,1996,1996,1998,804,1760,1791,1214,96,238,482,333,22,87,339,241,153.2,11576,11798,1654742,3784293,4416504,19241,47405,57024
Nolsoy,85,48,566,504,1998,1994,2004,2004,748,1232,932,901,53,180,251,165,10,29,28,33,188.4,14287,14561,1189158,3215885,3778299,13990,39305,46719
Kollafjordur,67,30,361,256,1998,1995,1999,2000,695,1069,641,664,48,142,94,86,7,70,27,31,119.9,9107,9281,724880,1978891,2328064,10819,30211,34718
Leirvik,39,19,91,113,1991,1993,1997,1997,841,888,977,956,80,86,106,105,11,17,22,22,38.1,2874,2929,367713,923465,1177079,9429,25914,32963
Toftir,39,26,176,113,1983,1990,2002,1993,759,1426,977,1146,75,188,115,155,30,151,73,88,78.8,5949,6063,396623,1008008,1218516,10170,26918,32535
Hoyvik,31,20,119,110,1993,1993,1991,1995,558,793,745,758,55,74,90,95,9,27,56,61,40.8,3091,3150,292013,1419668,1215117,9420,29788,39732
Eidi,27,10,43,55,1984,1982,1991,1990,695,1038,891,896,64,132,303,234,10,10,13,14,24.8,1866,1901,234322,555915,668836,8679,23324,28627
Thorshavn,21,13,62,56,1995,1995,1995,1996,499,1398,948,686,53,243,1025,574,16,20,22,22,22.4,1684,1716,209297,700848,693047,9967,27590,36291
Tvoroyri,21,18,60,63,1994,1993,1993,1993,783,998,935,958,69,122,201,198,45,46,68,71,39.5,2981,3038,230554,590460,622625,10979,25484,30053
Vagur,15,14,97,91,1992,1994,1995,1996,586,2154,2853,3061,77,337,1294,1394,17,17,12,12,40.7,3069,3128,633260,1413940,1605586,42217,99634,118409
Lopra,14,10,50,56,1982,1987,1989,1990,690,1393,2172,2631,66,225,1135,1218,15,20,33,34,37.5,2828,2882,176581,403089,477981,12613,29262,34083
Skali,12,11,27,32,1999,1998,2006,2005,533,755,750,741,79,145,219,187,22,93,43,47,10.7,808,823,145542,350636,425347,12129,31611,39547
Streymnes,11,5,18,25,1985,1988,1982,1982,626,592,706,701,77,74,85,85,18,33,38,33,6.8,513,522,61920,159211,212628,5629,17667,23811
Sorvagur,10,4,28,16,1977,1986,1992,1990,473,723,830,772,59,56,53,58,11,10,11,11,8.2,621,632,33314,98804,123855,3331,9845,12125
Vestmanna,7,6,22,24,1990,1990,1996,1998,430,796,959,1058,68,146,201,197,19,26,10,9,14.6,1103,1124,47246,113491,139726,6749,17526,20997
Strendur,6,6,24,27,1998,1998,1999,2000,686,1143,826,786,50,203,144,103,8,51,18,16,11.1,843,859,69901,167394,191355,11650,28623,32241
Noryskali,6,6,9,11,1988,1988,1997,1996,659,782,790,724,66,85,78,73,15,28,15,14,4.9,368,375,34411,90738,122452,5735,16527,22307
Nordregota,3,3,3,4,1987,1987,1990,1988,804,741,776,821,73,83,92,98,31,33,23,18,1.1,83,85,15887,41019,54282,5296,15145,20394
