Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,271,51,493,648,1991,1993,1997,1997,454,815,649,655,55,94,140,144,15,28,47,48,169.5,12842,13089,1404485,4080345,5754099,5183,18810,25320
Miscellaneous - fishing,251,117,1277,768,1994,1991,1995,1997,1090,2088,1973,1766,146,435,734,669,25,191,354,350,522.3,39325,40080,5397866,11973508,13612666,21505,50612,59998
Container,213,14,1611,1934,2003,2006,2002,2003,574,624,626,627,51,51,52,52,12,12,18,18,521.8,39652,40413,2478899,8040401,9139054,11638,39862,47305
Refrigerated bulk,137,49,1061,1125,1994,1992,1993,1993,1472,1578,1540,1546,118,137,179,174,52,56,73,71,619.7,46793,47692,3337997,7293686,8215652,24365,51921,56060
Ferry-RoPax,108,1,1741,296,2003,2003,2003,2003,564,564,448,448,32,32,31,31,5,5,10,10,312.9,23690,24145,1838529,4546536,5578629,17023,36338,33096
Chemical tanker,71,22,196,286,2005,2003,2008,2008,673,582,686,676,71,61,81,81,17,27,29,29,91.2,6888,7020,599587,1700552,2137013,8445,27149,34259
Ro-Ro,53,3,205,196,1980,1980,1980,1980,630,618,850,850,54,63,83,83,6,7,27,27,84.8,6382,6505,711476,5485206,2588418,13424,32760,46701
Cruise,32,23,644,74,1988,1991,2000,1994,362,544,491,459,32,42,43,44,9,10,13,12,150.1,11476,11697,328672,1614355,1943403,10271,43972,48301
Service - other,12,9,24,13,1986,1991,1999,1998,559,658,752,811,74,79,167,157,16,203,264,450,14.5,1085,1106,88719,182032,196150,7393,16451,18576
Vehicle,11,1,98,39,1996,1996,1996,1996,451,451,467,467,30,30,30,30,13,13,14,14,19.1,1475,1504,39711,175085,202766,3610,13722,14768
Bulk carrier,8,2,18,25,1979,1989,1980,1980,744,744,717,717,75,80,80,80,12,13,12,12,6.2,469,478,52031,118018,142175,6504,19611,24478
Service - tug,3,3,0,0,1986,1986,1987,1987,512,556,534,523,83,99,97,97,84,113,134,148,1.4,105,107,6762,15991,21411,2254,5821,7859
Oil tanker,2,1,0,1,1962,1962,1962,1962,573,573,573,573,66,66,77,77,69,69,81,81,2.1,154,157,2517,449,690,1258,3267,4159
Ferry-pax only,1,1,0,0,1991,1991,1991,1991,3000,3000,3000,3000,479,479,479,479,25,25,25,25,1.3,96,98,9381,19105,24066,9381,21814,28758
