int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,10926,1560,2006,2008,2011,2011,988166480469,1074942074394,864,1560,1973,1892,101963,7888855
Offshore,419,209,2010,2010,2007,2005,6195486873,8691013955,558,2886,1825,1860,1776,133872
Bulk carrier,4965,2927,2009,2009,2009,2009,1500043588496,2870126222438,2054,3491,5377,5484,73536,5694891
General cargo,2897,959,2005,2005,2008,2008,47835863451,65983622928,1145,1794,1943,1934,8392,644350
Ferry-pax only,355,39,1998,2000,1993,1994,500253720,105701271,693,1951,783,784,409,30750
Liquefied gas tanker,978,265,2004,2006,2004,2004,120550161306,98078204372,1528,2324,3097,3053,16111,1013978
Chemical tanker,4490,1261,2008,2009,2009,2009,104926993723,169324931071,829,1817,1850,1862,20262,1559294
Service - tug,2579,564,2009,2009,2009,2009,1748336531,1561843053,250,1262,1121,1161,1760,132260
Oil tanker,5038,1656,2006,2007,2010,2010,834444033032,1578708165629,584,2761,3476,3541,53728,4154904
Vehicle,460,165,2003,2006,2006,2006,36413539434,11973107615,935,2435,1843,1841,2378,183968
Service - other,1708,135,2014,2007,2010,2011,6327194340,7518214372,82,2065,410,331,1548,117584
Other liquids tankers,11,4,2014,2013,2009,2009,9543360,10875403,69,122,272,267,28,2087
Refrigerated bulk,31,23,1988,1986,1990,1990,589836761,644793602,2500,3921,4474,4511,451,34126
Cruise,276,51,2001,2001,2004,2004,15302031492,1523942057,457,751,633,654,3162,244793
Ro-Ro,153,36,2010,2010,1999,2005,226824465,217121421,130,1753,726,552,391,29460
Miscellaneous - fishing,30,10,1999,2000,1996,1993,49758467,40401328,942,3368,1350,1702,65,4890
Ferry-RoPax,41,10,1995,1996,1998,2001,186143678,65895028,1013,3286,1545,2057,134,10033
