dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,3724,385,2003,2006,2004,2004,33997765941,41769234956,267,321,392,401,6842,526382
Offshore,730,120,2012,2011,2004,2002,2958733356,4565532133,410,2362,1361,1733,1729,130011
Ferry-pax only,210,21,1999,1997,1997,1997,84173201,21935322,795,2215,1962,2400,292,21946
Chemical tanker,1868,531,2008,2008,2009,2009,10697841980,16884385895,381,531,574,576,3268,250002
Oil tanker,2442,358,2002,2004,2005,2004,25920682835,45094996806,308,504,682,684,5719,437692
Bulk carrier,1151,494,2008,2008,2007,2008,18847462294,34148262641,333,577,547,539,1840,141991
Service - tug,2498,353,2011,2009,2011,2011,1414645698,1259529842,209,658,755,740,1323,99323
General cargo,1578,352,2001,2005,2002,2003,4880168416,7020334772,536,590,635,643,1365,103624
Vehicle,103,11,1999,2002,1998,1998,4886014501,1579433089,763,534,1049,1052,303,23422
Refrigerated bulk,5,3,1983,1981,1981,1981,33941204,40102375,665,3460,1417,1536,35,2630
Cruise,179,37,1996,2001,1994,1993,3898360036,441172770,209,351,372,409,990,76456
Service - other,820,74,2010,2008,2009,2009,1980557166,2490249295,119,726,443,379,701,53170
Ro-Ro,307,22,2010,2011,2008,2008,533927204,857519571,292,1242,958,935,861,64612
Liquefied gas tanker,295,61,2005,2004,2007,2007,5898022529,5019350982,747,1017,1666,1574,1272,88478
Miscellaneous - fishing,3,3,1992,1992,1987,1983,1495487,1465362,622,569,357,538,1,86
