dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,753,97,2005,2005,2005,2005,2609002745,3748226694,267,289,370,371,1124,84392
General cargo,1678,346,2000,2003,2003,2003,1732738378,2420601325,151,218,245,244,601,45120
Service - tug,689,50,1978,1976,1981,1979,51526597,30454854,157,309,234,231,283,21256
Container,392,47,2008,2007,2007,2007,683481620,821411527,83,165,145,147,252,18890
Cruise,15,10,1993,1990,2010,2003,192858892,19862604,193,293,474,354,53,4004
Ferry-RoPax,603,30,1991,1990,1997,1997,3643941167,402199622,181,1964,244,263,1085,80688
Offshore,172,15,2004,2001,2006,2003,281859568,229753819,106,286,276,212,174,13037
Miscellaneous - fishing,106,16,1981,1981,1979,1979,50083802,23280137,363,1053,1089,1068,122,9185
Ro-Ro,974,29,1990,2000,2003,2003,2331568574,1366051002,82,147,146,154,796,59771
Bulk carrier,160,17,2016,2010,2015,2015,322298723,500127633,294,297,286,288,77,5746
Vehicle,3,3,2004,2004,2004,2004,6846881,2276565,142,122,117,117,2,170
Oil tanker,221,10,1989,1996,2004,2004,524720423,794389234,205,209,274,272,258,19394
Ferry-pax only,7,4,1959,1965,1967,1958,3629962,879627,1107,4450,2765,2013,20,1516
Service - other,362,23,1988,1984,1995,1995,704399962,302393020,199,366,466,493,488,35058
Liquefied gas tanker,3,3,2009,2009,2016,2016,11924425,12484581,76,251,428,418,4,316
