int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,109,89,2006,2006,2008,2008,4708810387,8318166215,1197,1442,1531,1542,484,37348
Oil tanker,72,54,2006,2006,2007,2007,13279865869,24288788008,2898,3318,3819,3856,1254,97151
General cargo,380,81,1979,1992,1998,1999,1080837458,1381332489,203,982,775,768,296,22436
Chemical tanker,73,63,2009,2009,2010,2010,3398054305,5577154421,1769,1800,1940,1933,760,58718
Liquefied gas tanker,33,14,2013,2013,2013,2013,709102504,803506584,2206,2603,2555,2533,206,15734
Vehicle,32,31,2007,2006,2006,2006,3295558046,1083883344,1103,1973,1799,1819,201,15580
Container,177,43,2003,2005,2005,2005,2344980696,2846753079,260,545,497,488,628,48307
Ferry-RoPax,17,3,1975,1977,1975,1975,9891701,3717291,207,246,206,194,30,2247
Ro-Ro,50,14,1980,1983,1987,1989,458835077,335746599,252,1377,969,1125,168,12820
Service - tug,5,5,1999,1999,1991,1992,3341174,3123757,821,878,760,729,10,715
Service - other,3,3,1979,1979,1984,1982,8465097,10386737,773,904,194,136,22,1618
