int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,109,89,2006,2006,2008,2008,5850114139,10186904974,1808,2029,1901,1889,624,48284
General cargo,380,81,1979,1992,2002,2003,1538404465,2050224118,239,1202,1103,1140,342,26069
Oil tanker,72,54,2006,2006,2007,2007,10608020438,19371996010,2259,2618,3050,3076,776,60050
Container,177,43,2003,2005,2003,2003,1201401314,1510299020,194,338,255,259,369,28378
Chemical tanker,73,63,2009,2009,2010,2010,2378719437,3894912033,1392,1432,1358,1350,449,34705
Liquefied gas tanker,33,14,2013,2013,2014,2014,578293489,669141822,2090,2024,2084,2109,200,15293
Vehicle,32,31,2007,2006,2013,2012,2934301594,923681450,629,1350,1602,1550,165,12760
Ferry-RoPax,17,3,1975,1977,1975,1975,10652261,4183345,240,245,221,219,86,6489
Ro-Ro,50,14,1980,1983,1980,1981,610618582,403896316,234,2923,1289,1353,246,18863
Service - tug,5,5,1999,1999,1989,1990,9675663,8965055,1842,1842,2200,2092,20,1489
Service - other,3,3,1979,1979,1982,1982,99851497,178511123,2120,1710,2286,2339,14,1040
