Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Singapore,1178,493,38749,54714,2006,2007,2007,2007,1502,1684,1623,1638,148,291,272,292,17,49,35,37,6059.6,466730,475691,36433654,119081783,139243096,30928,121243,146936
India,693,501,12009,19358,2008,2008,2008,2008,643,875,888,883,109,211,282,288,66,106,95,97,1906.2,146787,149605,9617929,26542296,33364736,13879,54446,66833
Malaysia,553,255,17738,24245,2007,2005,2008,2007,1411,1765,1629,1665,157,254,280,307,23,63,50,51,2587.0,199505,203336,16734034,52801195,61629548,30260,112609,135208
Sri Lanka,360,116,9932,14057,2006,2007,2007,2007,1306,1438,1350,1350,120,284,281,302,24,35,31,31,1667.1,128142,130602,10119963,35404376,40772144,28111,111957,135514
Indonesia,306,222,9778,16060,2005,2006,2006,2006,1611,1840,1824,1829,157,263,310,317,68,120,139,144,1432.0,110306,112424,8612156,21605637,26743884,28144,101293,122581
Thailand,105,56,3821,6262,2000,2002,2000,2000,1754,2072,2166,2156,198,361,441,451,59,129,149,153,525.8,40485,41262,3510392,9397325,11646881,33432,124411,151043
United Arab Emirates,58,46,5221,8622,2007,2007,2006,2006,3203,3641,3655,3669,306,388,414,420,22,48,39,37,568.8,43989,44834,3760238,10424800,12430314,64832,252432,302973
South Africa,54,51,8699,15134,2011,2011,2012,2012,4926,4980,4979,4981,496,558,572,572,72,92,94,94,679.8,52648,53659,5442776,12062026,14775462,100792,356478,422770
China,52,45,9870,18142,2006,2006,2014,2015,2785,3732,6868,7677,342,527,2726,2846,37,134,77,75,410.0,31658,32266,5356367,11297570,12970964,103007,328520,405563
Iran (Islamic Republic of),32,29,3327,5699,2003,2004,2005,2005,3331,3598,3651,3636,354,404,427,424,116,129,120,121,292.0,22610,23044,2524222,5215539,6507489,78882,262513,308477
Viet Nam,27,17,2016,3485,2000,2001,1999,1999,3251,2879,3399,3429,268,318,332,333,171,201,202,203,193.1,14926,15212,1619766,3346794,4214318,59991,198467,233920
