Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,215,36,2820,3619,2001,2002,2000,2000,527,541,555,555,44,49,56,56,51,64,70,70,550.2,42490,43306,3107536,11283979,12356978,14454,53284,62671
Oil tanker,81,19,604,1014,1999,2006,2007,2007,526,600,541,541,48,70,107,106,68,104,110,110,234.3,18060,18407,1048808,2082404,2373806,12948,38097,45246
Chemical tanker,75,43,1072,1731,2008,2010,2008,2008,571,597,567,569,49,67,87,88,59,101,169,178,258.2,19977,20360,395757,2584517,2996845,5277,40429,49715
Bulk carrier,59,47,953,1633,2010,2010,2010,2010,557,538,551,553,48,84,99,99,136,161,173,174,115.2,8912,9083,645730,1403852,1793821,10945,38524,45951
Miscellaneous - fishing,51,12,76,38,1985,1987,1996,1993,1414,3827,2366,2644,288,574,710,847,34,329,635,540,76.4,5739,5849,267240,592789,673941,5240,12332,14619
General cargo,36,15,164,232,2009,2008,2010,2010,508,563,560,557,66,262,249,224,68,123,130,133,43.4,3297,3360,215897,671599,953898,5997,26259,34814
Service - other,24,3,91,72,2009,2010,2008,2008,1192,2467,2574,2313,198,206,206,211,66,227,1071,942,30.2,2277,2320,505762,1037713,1118198,21073,46892,52948
Refrigerated bulk,15,8,58,66,1995,1994,1995,1995,526,529,527,527,43,41,42,42,77,100,98,99,42.1,3184,3245,195029,426147,480014,13002,27707,29915
Service - tug,8,2,2,1,2015,2015,2015,2015,1031,1041,1490,1493,429,696,1959,1960,41,46,191,194,11.4,853,869,33442,79080,105884,4180,10794,14574
Cruise,8,3,40,5,1973,1986,2003,1998,219,427,633,528,21,36,62,59,5,5,5,6,9.5,728,741,13819,100941,158889,1727,11208,16071
Liquefied gas tanker,2,2,43,50,2006,2006,2010,2010,615,615,610,610,256,256,193,197,50,50,56,56,8.6,661,674,20403,94118,88273,10202,69512,99677
Ro-Ro,1,1,46,43,2011,2011,2011,2011,916,916,916,916,63,63,63,63,41,41,41,41,5.0,387,395,45835,84460,98475,45835,107730,114357
