Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Maputo,661,492,53654,84008,2007,2009,2011,2011,1395,2722,2348,2837,127,272,391,422,27,62,40,41,5043.0,390125,397615,30740680,81407978,98126790,46506,176642,212182
Beira,402,274,21141,32378,2006,2007,2008,2009,1429,2329,2263,2306,156,300,331,332,52,83,67,68,2878.1,221865,226125,17995058,56407973,65113313,44764,174814,211788
Nacala Porto,283,219,34982,63070,2007,2008,2009,2010,1666,3051,3360,3552,229,311,573,591,56,99,103,106,2916.9,225763,230098,17974064,49630123,57005595,63513,234960,279697
Porto Amelia,44,21,812,1329,2002,2000,2008,2009,560,2819,1714,1776,56,415,387,381,42,95,70,70,144.3,11072,11284,827015,2493713,2980519,18796,70759,85601
Porto De Angoche,31,30,1689,2790,2010,2010,2012,2012,2872,2651,2549,2507,303,277,356,356,19,79,46,43,205.9,15891,16196,1180144,2899784,3887011,38069,147024,184080
Quelimane,14,11,1015,1668,2010,2010,2012,2012,4296,3495,3797,3813,389,556,689,702,12,16,11,11,105.9,8189,8346,655228,1575105,2087896,46802,181317,222658
Mocimboa Da Praia,8,3,2,2,2003,2002,2005,2005,483,605,487,488,94,112,113,112,71,82,141,123,3.3,247,252,30614,73385,97919,3827,10038,13531
Ibo,5,5,28,35,2003,2003,2009,2012,411,2118,536,469,59,343,318,200,5,21,16,11,9.2,698,711,52084,125248,147618,10417,27802,33628
Mocambique,3,3,16,2,1986,1986,2004,2000,340,348,333,336,28,29,23,25,10,12,10,10,4.5,348,355,5513,39942,63541,1838,11877,17220
Porto Belo,2,2,30,50,2014,2014,2016,2016,881,881,845,843,102,102,77,76,106,106,140,143,8.3,639,651,19603,95540,114466,9802,55119,68953
Inhambane,1,1,1648,3139,2009,2009,2009,2009,17377,17377,17377,17377,1956,1956,1956,1956,109,109,109,109,87.0,6738,6868,706273,1400963,1613259,706273,2001190,2311085
