Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Maputo,219,115,2633,3623,2002,2004,2004,2005,529,697,583,578,47,104,69,68,56,101,95,96,540.3,41592,42390,2801255,9424809,10587808,12791,47001,55687
Beira,175,108,2347,3464,2003,2005,2005,2005,570,1003,597,598,51,144,102,102,69,151,153,154,510.1,39371,40127,2277902,7366460,8322544,13017,49066,58505
Nacala Porto,76,46,812,1220,2002,2006,2003,2005,549,769,507,494,43,104,75,77,62,158,166,134,213.3,16452,16768,835909,2368980,2695102,10999,37650,44461
Quelimane,25,6,48,67,2008,2011,2009,2009,496,1277,539,520,67,1561,500,391,44,44,59,60,24.5,1851,1887,153250,411005,568729,6130,22020,28542
Porto Amelia,23,12,58,70,2005,2007,2008,2007,150,801,242,190,15,122,158,75,54,151,194,152,37.9,2900,2956,113421,226303,255979,4931,13625,16105
Porto De Angoche,21,7,16,16,2003,2010,2005,2002,475,1334,594,459,75,273,245,200,113,175,112,132,19.5,1472,1500,81002,115635,151972,3857,10274,13380
Inhambane,18,9,29,29,1982,1983,1998,2002,969,1056,741,683,178,300,199,178,40,65,591,625,18.3,1379,1405,138511,309700,351383,7695,18406,21618
Chinde,5,4,5,4,1992,1994,2000,2004,809,1819,1635,1322,175,490,647,794,148,837,1460,1151,7.6,572,583,19688,46966,57756,3938,10185,12908
Pebane,4,3,15,9,1999,2000,1993,1993,5626,5819,6400,6482,506,666,842,889,94,194,252,278,9.6,719,733,66625,147483,167451,16656,39141,46342
Mocambique,4,4,2,1,1993,1993,1991,1998,185,341,201,243,25,61,42,72,27,33,23,38,1.5,117,119,3733,11557,19166,933,3039,4689
Ibo,2,2,1,0,1974,1974,1979,1977,187,187,186,186,19,19,19,19,5,5,5,5,0.7,51,52,1142,6452,14028,571,3300,6377
Porto Belo,2,1,1,0,1985,1985,1985,1985,1038,1038,1038,1038,328,328,377,377,5,5,7,7,1.1,81,83,2555,5669,6445,1278,3007,3565
Mocimboa Da Praia,1,1,0,0,1989,1989,1989,1989,183,183,183,183,27,27,27,27,1,1,1,1,0.1,8,8,261,580,659,261,615,729
