Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Maputo,819,565,49055,74302,2007,2008,2010,2011,1253,2225,1874,2173,105,215,321,345,70,129,141,161,5077.2,392389,399923,29749329,86299166,102048741,36324,141132,169545
Beira,319,244,21210,33276,2007,2008,2008,2008,2356,3041,2705,2768,262,276,353,352,78,136,142,142,3016.8,232637,237104,17633549,51491928,61805379,55278,213800,259466
Nacala Porto,233,188,27414,50391,2008,2009,2010,2010,2940,2866,2947,3072,253,269,343,344,79,114,136,137,2036.3,157655,160682,13397322,33060320,38702618,57499,207033,246795
Porto De Angoche,27,27,1215,2097,2011,2011,2011,2011,985,1665,1781,1802,122,168,247,248,146,209,235,236,124.2,9604,9788,744902,1771073,2269215,27589,104947,127347
Quelimane,26,8,536,902,2009,2011,2014,2015,620,2619,2139,2261,68,278,340,345,70,192,143,142,58.2,4482,4569,405766,1106956,1433361,15606,61926,77293
Porto Amelia,20,15,381,634,1997,1997,2007,2008,985,1736,1845,1926,102,162,251,257,90,751,417,410,77.0,5923,6037,465346,1031823,1312942,23267,70673,86193
Mocimboa Da Praia,9,3,3,3,2002,2002,2004,2004,531,813,608,604,128,166,796,713,57,77,96,98,6.3,476,485,38921,92822,122960,4325,11267,15099
Ibo,2,2,2,0,1974,1974,1980,1978,238,238,241,240,20,20,21,21,8,8,8,8,0.9,70,71,1474,8322,18095,737,4256,8226
Inhambane,2,2,1827,3479,1984,1984,2009,2009,9857,9857,18754,19194,1132,1132,2224,2225,4,4,5,5,88.5,6853,6985,783698,1558521,1800965,391849,1111882,1286503
Mocambique,1,1,2,0,1989,1989,1989,1989,387,387,387,387,40,40,40,40,10,10,10,10,0.7,49,50,1457,8227,17889,1457,8415,16264
Pebane,1,1,1,1,1999,1999,1999,1999,599,599,599,599,2137,2137,2137,2137,2153,2153,2153,2153,2.9,219,223,30480,72076,96506,30480,78705,106265
Porto Belo,1,1,29,50,2017,2017,2017,2017,964,964,964,964,341,341,341,341,0,0,0,0,6.7,522,532,9572,70100,80824,9572,82660,101614
