int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,158,108,2010,2010,2010,2010,3397617066,5526095054,520,1226,965,952,612,47198
Bulk carrier,124,113,2009,2010,2009,2009,3505557317,5830332126,966,1082,1060,1061,369,28336
Liquefied gas tanker,52,19,2009,2010,2013,2013,1453375791,1666631280,1098,1354,1145,1150,251,19286
Container,1150,97,2005,2006,2005,2005,13288235544,15776549261,754,594,642,627,2780,213735
Vehicle,88,68,2008,2009,2008,2008,1346831646,443783563,178,281,267,268,89,6917
General cargo,138,72,2007,2007,2005,2005,1576881362,2331589926,933,1211,1128,1139,301,22973
Cruise,343,48,2007,2005,2008,2008,19881831409,1863508701,297,485,531,556,3886,299721
Oil tanker,32,21,2004,2007,2005,2004,203720798,334641109,409,413,306,290,76,5821
Service - tug,8,7,1990,1993,1995,1989,4647314,2823267,1183,2353,2007,1704,20,1533
Refrigerated bulk,8,6,1994,1995,1992,1992,207166019,221116620,74,921,2083,2096,78,5980
Service - other,3,3,1988,1988,1979,1978,109089750,87617603,1662,1570,1648,1560,25,1931
Miscellaneous - fishing,3,2,1992,1990,1987,1988,457539,377528,177,284,216,220,1,65
Ferry-RoPax,2,1,2007,2007,2007,2007,6319327,533890,271,271,271,271,2,152
Offshore,7,4,1988,1986,1999,1998,29842064,56505986,404,561,79,82,18,1359
Ro-Ro,2,2,1968,1968,1966,1966,1362781,2568174,674,674,783,806,3,214
