Inventory,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
All Global Voyages,2658748,54999,81267189,114150482,2003,2002,2009,2009,366,1368,1510,1787,41,222,402,445,19,84,69,77,9296550.7,707533846,721118495,52903800409,144910309539,167566454198,19898,67929,83365
All International Voyages,1229088,41343,71953337,102531468,2004,2004,2009,2009,668,1826,2058,2439,67,229,428,472,22,79,69,77,7386879.1,561972490,572762361,42427448654,117844885887,135247567982,34519,120548,148093
All Domestic Voyages,2658748,54999,81267189,114150482,2003,2002,2009,2009,366,1368,1510,1787,41,222,402,445,19,84,69,77,9296550.7,707533846,721118495,52903800409,144910309539,167566454198,19898,67929,83365
Int. Arr. Inventory,1608,563,20677,19889,2000,2000,2005,2008,1105,1744,1214,1653,98,225,255,328,24,91,91,114,4945.1,377725,384977,28336568,81753513,99883606,17622,56766,68763
Int. Dep. Inventory,1610,567,17295,13838,2000,2000,2003,2006,998,1671,1013,1141,89,208,187,203,14,106,73,70,4405.0,336243,342699,25405434,73167216,88631181,15780,49383,59434
Domestic Inventory,3484,419,7321,4097,1993,1996,2000,2000,270,790,398,457,35,157,512,520,11,62,173,204,3554.0,269222,274391,20986908,51499237,61323295,6024,15623,18905
