Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-pax only,2191,59,594,58,1997,2000,1996,1995,302,415,482,492,20,33,141,156,7,17,37,38,1208.6,90746,92488,4783777,9742610,12272678,2183,5077,6694
General cargo,89,17,105,133,2003,2002,2002,2002,239,337,603,556,19,48,226,214,13,68,71,68,19.7,1497,1526,324512,938472,1331795,3646,12766,17555
Liquefied gas tanker,67,12,22,21,1999,2005,2000,2000,76,199,155,157,13,20,36,36,11,24,49,53,27.5,2077,2117,15586,45154,49864,233,1274,1675
Chemical tanker,63,21,43,67,2008,2009,2013,2013,144,209,273,282,10,22,38,40,18,167,216,216,42.1,3182,3243,122169,339499,415240,1939,6281,7710
Bulk carrier,29,7,1703,2782,1998,2005,1994,1994,621,662,1855,1854,67,65,905,894,10,36,49,49,89.0,6890,7023,597040,1701884,1955406,20588,91520,111533
Container,15,6,90,99,2001,2003,2006,2006,129,394,170,174,15,29,35,36,10,42,29,31,13.5,965,984,94581,276229,311127,6305,19879,23263
Oil tanker,15,3,4,5,2012,2010,2012,2012,88,203,192,198,8,9,9,9,29,158,106,103,8.0,598,609,23103,4125,6332,1540,3999,5091
Service - other,3,3,13,13,2004,2004,1993,1993,177,192,173,169,26,91,40,29,56,96,172,181,2.0,153,156,90112,184890,199231,30037,66838,75470
Service - tug,2,2,11,10,2005,2005,2012,2012,2038,2038,2332,2208,251,251,457,454,24,24,9,10,6.7,507,516,262216,620062,830229,131108,338544,457092
Miscellaneous - fishing,1,1,0,0,2014,2014,2014,2014,122,122,122,122,25,25,25,25,2,2,2,2,0.1,7,7,601,1334,1516,601,1415,1677
