int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,134,43,2005,2007,2007,2007,976227565,1394220269,130,1094,968,931,224,17189
Cruise,225,45,1999,1996,2007,2007,2478301126,231663890,135,260,188,185,651,50250
Vehicle,63,23,2005,2005,2008,2008,2462773899,727422856,146,600,1034,977,172,13342
Chemical tanker,117,10,2007,2006,2006,2006,305430156,494317625,261,553,367,366,151,11477
Container,271,37,2007,2007,2007,2007,11937853896,14823788325,1093,1354,1761,1755,2345,181562
Liquefied gas tanker,24,3,2010,2007,2010,2010,32662220,33044478,234,344,359,358,20,1550
Refrigerated bulk,38,12,1995,1995,1995,1995,225229683,242567311,122,585,489,482,91,6969
Service - other,3,3,2010,2010,2011,2011,48046695,23307119,3147,2380,2885,2377,20,1524
Bulk carrier,8,6,2011,2011,2012,2012,210442443,265811670,1942,1938,1997,1896,38,2949
Oil tanker,33,7,2002,2005,2009,2010,315708902,553821461,295,654,956,1021,48,3702
Service - tug,46,6,1974,1976,1976,1976,1387801,895501,89,194,109,108,6,438
Ferry-pax only,134,5,2008,2000,2001,1998,35409461,3925153,203,3674,403,539,47,3555
Ro-Ro,160,3,1991,1998,1992,1992,159978674,120636113,170,149,159,160,70,5349
Offshore,12,4,2007,2000,1973,1972,12808905,20065421,81,4535,2401,5616,28,2128
Ferry-RoPax,166,3,2006,1994,2005,2002,39516924,4344054,179,296,316,293,74,5561
