int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Pointe A Pitre,1198,177,2003,2003,2007,2007,17276112940,17029409125,185,836,702,1181,3732,287741
Terre De Bas,68,18,1988,1987,1997,1996,118392629,13828785,114,132,147,145,47,3572
Baie Mahault,7,6,1990,1988,1991,1991,3804531,538350,76,92,103,93,3,262
Le Gosier,5,4,2010,2010,2009,2009,5722422,6838901,302,362,361,352,3,249
Port Louis,1,1,2012,2012,2012,2012,439828149,832886994,2802,2802,2802,2802,35,2712
Basse Terre,47,25,2006,2005,2006,2008,106946145,75305104,161,249,188,203,37,2832
Folle-Anse,15,7,1997,1998,2013,2014,41505917,57325054,172,624,706,871,10,772
Gustavia,6,6,1999,1999,2001,2005,7996950,8513710,172,329,349,591,26,1977
Marie Galante,83,6,2009,2005,2007,2007,47702558,4875657,207,4951,833,929,50,3786
Trois Rivieres,3,3,1998,1998,2008,2008,125916811,143661969,522,1391,2032,2079,23,1784
Capesterre,1,1,1972,1972,1972,1972,1611288,2564150,2318,2318,2318,2318,3,245
