int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,248,224,2008,2008,2008,2008,14997175711,25429478522,1934,2332,2309,2307,1385,107102
Container,361,99,2006,2006,2007,2007,16192546060,19832664111,799,1060,1263,1267,2201,170208
General cargo,264,112,2003,2006,2010,2010,2539068303,3497116599,670,1497,1197,1224,499,38245
Chemical tanker,155,54,2007,2007,2007,2007,1814863452,2922560173,717,1439,1156,1175,632,48096
Liquefied gas tanker,50,15,2011,2011,2008,2008,10272484640,8603221030,717,4045,6549,6268,1422,87289
Oil tanker,99,85,2009,2009,2010,2011,46468568835,88604639958,4360,4614,5221,5256,3673,284216
Ro-Ro,75,26,2006,2008,2007,2008,4189577396,2208872168,734,1376,1684,1726,487,37587
Refrigerated bulk,85,43,1998,1992,1995,1995,1052745498,1213539566,937,2591,1656,1688,568,43138
Service - tug,139,44,1999,2006,2007,2008,64124796,57060164,143,543,369,364,80,6047
Offshore,131,32,2007,2005,2012,2010,130152361,92673841,124,2277,514,337,183,13792
Vehicle,25,10,2005,2004,2005,2005,4064370792,1377231929,4441,3660,3189,3110,245,18962
Miscellaneous - fishing,7,4,1994,1990,1984,1982,8742594,9786625,161,723,1154,1706,12,878
Service - other,39,8,1994,1995,1990,1997,80088111,58841334,113,2603,2411,3564,45,3409
Ferry-RoPax,25,1,1974,1974,1974,1974,2934703,679729,119,119,108,108,9,643
Ferry-pax only,1,1,1983,1983,1983,1983,200580,34552,449,449,449,449,0,9
