dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,13,10,1999,1996,2007,2007,7929406,10734612,110,101,100,98,7,499
Container,23,14,2007,2007,2008,2008,131220481,163028923,120,207,163,160,64,4928
Chemical tanker,71,9,2005,2007,2005,2005,64729212,105696470,63,88,99,98,112,8416
Service - tug,421,17,2005,2005,2007,2008,82997414,69661498,101,253,125,122,79,5966
Offshore,479,15,2010,2004,2010,2010,87759418,92762740,92,821,110,107,162,12148
Bulk carrier,16,14,2005,2005,2006,2006,77732655,135705075,131,176,172,171,28,2169
Oil tanker,3,3,2003,2003,2008,2008,39372909,72128632,140,144,144,144,59,4559
Service - other,113,7,1997,1997,2000,2002,7360869,6231934,159,384,190,201,42,3124
Ferry-RoPax,2,1,1974,1974,1974,1974,187477,43423,86,86,86,86,0,8
Liquefied gas tanker,1,1,2014,2014,2014,2014,345656,382646,59,59,59,59,1,100
Miscellaneous - fishing,16,1,1991,1991,1991,1991,422077,42208,298,298,440,440,6,457
