dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ferry-RoPax,344,5,2009,2003,2009,2009,6898671761,2169271852,787,858,786,785,1743,130865
Service - other,38,11,1980,1989,1990,1992,53896556,68563499,422,603,606,655,54,4072
Service - tug,72,9,2007,1999,2004,2007,7069158,4391271,188,326,358,312,45,3415
Miscellaneous - fishing,46,10,1983,1983,1983,1983,10236447,2945448,1037,1925,1925,1791,78,5892
General cargo,4,4,1994,1994,1995,1993,889657,1460399,69,161,85,91,1,58
Bulk carrier,5,5,2013,2013,2014,2014,18149724,29859444,147,135,137,137,3,236
Oil tanker,5,2,1985,1998,1999,2001,3833433,6491853,106,125,54,51,43,3232
Chemical tanker,3,3,2006,2006,2003,2004,2862186,4274040,69,87,61,57,4,275
Container,2,2,2003,2003,2004,2004,27488885,32178464,1075,1075,1073,1074,9,657
Refrigerated bulk,1,1,1978,1978,1978,1978,697959,729684,512,512,512,512,1,84
Offshore,11,1,2002,2002,2002,2002,14660737,12942682,1287,1287,1487,1487,29,2142
