int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,123,65,2004,2008,2010,2010,2214564815,3435476677,479,1403,1352,1366,261,20085
General cargo,332,112,1997,2002,2006,2006,1608269776,2271976215,465,1015,1022,1019,380,29084
Liquefied gas tanker,41,4,2009,2005,2009,2009,71298185,73345850,417,397,433,433,40,3021
Offshore,115,25,2009,2009,2014,2013,356403521,444905912,558,1363,1378,1335,255,19160
Chemical tanker,88,12,2008,2008,2007,2007,221766071,350153144,415,863,486,493,107,8085
Container,282,24,2007,2008,2008,2008,973212004,1252840574,399,302,336,337,256,19544
Refrigerated bulk,26,12,1998,1996,1996,1996,137411134,151668457,224,714,494,484,66,5020
Oil tanker,118,12,2004,1999,2005,2005,286344535,432577405,416,507,440,443,222,16749
Service - other,10,8,2006,2004,2013,2013,64959655,28517306,739,929,1565,1254,13,971
Service - tug,13,5,2005,2000,2006,2006,15802880,11566745,561,982,1344,1350,12,909
Vehicle,25,2,2003,2003,2005,2004,146361890,46828747,391,314,395,397,23,1743
