int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,673,87,2002,1997,2007,2006,10301617120,1061858249,167,396,315,300,2452,184102
Chemical tanker,3231,637,2006,2007,2009,2009,25560059940,40213557358,471,922,838,866,6556,491398
General cargo,8291,1315,2000,2002,2004,2004,23826350410,33741732319,431,729,771,773,6496,490195
Bulk carrier,818,497,2007,2009,2011,2011,33443788033,57400955693,626,1929,1844,1856,3438,262456
Liquefied gas tanker,652,107,2006,2009,2011,2011,7530223626,7166679544,513,1079,1156,1079,1507,108704
Ferry-RoPax,11945,92,1996,1993,1996,1996,75648540477,14393343617,139,750,196,184,15682,1172918
Oil tanker,1083,303,2004,2008,2006,2006,27812017947,49520024737,303,1169,1061,1081,4449,337133
Vehicle,655,141,2004,2007,2007,2007,13953154246,4851549449,513,783,649,645,1320,97739
Service - tug,716,124,1990,1990,1992,1993,122863301,62560563,149,348,248,265,298,22392
Container,1559,166,2005,2006,2006,2006,12163581450,14160052579,428,444,426,442,2741,205950
Refrigerated bulk,66,42,1996,1994,2001,2000,1541940191,1587561608,695,2052,2737,2719,636,48314
Miscellaneous - fishing,538,93,1990,1987,1992,1996,345252564,248407875,258,1161,1114,898,390,29312
Ferry-pax only,55,46,1974,1976,1992,1985,24499527,3792343,400,1573,1808,1009,116,8702
Offshore,110,54,2002,2003,2009,2009,189536522,158020238,189,571,439,485,138,10336
Service - other,210,90,1993,1992,1998,2000,324967143,227227534,271,1059,569,578,326,24316
Ro-Ro,1645,55,2000,2001,2001,2000,23491573278,11712192855,538,607,572,592,4643,348825
Other liquids tankers,3,1,2016,2016,2016,2016,288396050,409626882,3756,3756,3483,3483,31,2357
