dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,3223,619,1998,2001,2003,2003,4852035571,6748717075,266,364,435,427,1422,106819
Bulk carrier,902,71,1988,2007,1999,2001,2353355481,3494696211,237,496,437,451,586,43266
Ferry-RoPax,857,30,1997,1989,2002,2002,17145997455,3009454989,466,2086,626,598,4314,320345
Chemical tanker,1935,249,2006,2006,2007,2007,4083848485,6032856895,185,304,336,339,1791,133157
Container,571,59,2005,2004,2005,2005,1799108936,2104397358,160,228,262,259,479,36000
Miscellaneous - fishing,433,47,1988,1989,1995,1999,111245011,104750669,224,484,508,509,242,18162
Ferry-pax only,947,42,1977,1977,1990,1984,192456473,32635498,275,1128,676,654,514,38626
Cruise,47,25,1991,1989,1998,1995,639882566,71618637,212,281,348,328,156,11736
Service - tug,946,52,1998,1992,2002,1998,307810494,196216321,148,444,486,556,552,41436
Oil tanker,1168,59,2001,2006,2001,2000,1395252215,2242694407,129,261,300,304,685,51454
Offshore,128,15,1996,2005,1996,1997,36289254,22818616,170,468,337,299,133,10013
Service - other,849,41,1996,1993,1989,1990,751569264,310570380,184,457,428,418,597,44810
Ro-Ro,412,12,1996,1994,1997,1997,3537635288,2132651646,386,499,549,538,846,63525
Refrigerated bulk,3,3,1986,1986,1987,1987,13020194,12726506,234,397,470,451,4,299
Liquefied gas tanker,169,29,2004,2007,2003,2003,217335646,241858975,326,227,298,302,121,9137
Vehicle,25,18,2004,2004,2005,2005,143501964,46524246,149,269,227,227,21,1575
