int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Stockholm,2896,185,1998,2001,2000,2002,31674393484,4382182774,244,433,251,297,5738,427757
Visby,116,80,1999,1999,2002,2003,931280091,261412029,308,644,370,487,307,23089
Aspero,769,248,2003,2003,2004,2005,6655580483,3856600068,496,641,465,497,1414,106043
Brofjorden,646,257,2008,2009,2009,2009,11943466990,19979349047,514,921,934,953,2036,152764
Stora Jatterson,279,86,1999,2000,2002,2001,600515988,818440771,530,700,566,594,185,13887
Varberg,523,134,1999,2002,2001,2005,1730746061,1883135604,571,627,744,733,453,34140
Solvesborg,343,166,1995,1999,2001,2001,229675248,333838715,225,333,336,335,86,6456
Halmstad,357,193,2001,2002,2006,2008,1277052122,1670864426,344,540,601,709,281,21138
Lulea,295,122,1998,2006,2011,2012,1742688970,2961958086,110,771,723,801,304,22871
Furusund,20,7,2001,2004,2007,2007,298138535,31966864,256,300,362,362,50,3391
Bergs Oljehamn,340,75,2002,2003,2002,2004,3790136293,873056549,238,421,304,360,656,48313
Nogersund,35,33,1993,1994,2001,2002,39740212,53731585,292,383,456,445,26,1973
Landskrona,294,200,1998,1998,2002,2003,551762748,627032316,326,398,524,493,222,16740
Karlshamn,952,226,2001,2001,2003,2005,4123219183,2881593209,232,542,338,439,1094,82205
Ahus,226,107,1993,1995,1997,1997,245820890,336083531,340,376,373,381,98,7363
Oxelosund,459,199,2002,2003,2007,2007,1854640017,2801198426,536,613,709,737,465,34898
Surte,35,24,1999,1997,2001,2001,33123718,52172947,272,415,371,376,15,1121
Foto,1456,1035,2007,2007,2009,2010,46565503041,74846598874,791,1541,1699,1693,6477,491057
Lysekil,102,31,1992,1996,1999,1998,106894908,115595479,134,511,341,473,37,2771
Sandvik (Styrso),389,333,2005,2005,2010,2010,9868079774,16197261045,665,1409,1742,1806,1445,109742
