Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Vuosaari,1300,130,21940,12969,2005,2005,2006,2007,619,1052,708,781,31,103,148,238,8,38,13,17,5451.6,409765,417632,25024155,66710703,80538040,19249,51517,55161
Helsinki,1095,97,15283,1733,1995,1998,1998,1999,260,285,292,289,18,23,21,24,6,29,17,21,3309.3,247246,251993,8101161,25494394,30638545,7398,20473,20263
Hanko,1050,89,12244,6661,2004,1999,2007,2006,511,450,537,539,30,60,46,46,10,30,16,16,3078.8,230427,234851,7359851,15310905,17968704,7009,17509,18863
Naantali,994,131,4688,2219,2001,2002,2003,2004,120,544,157,247,10,61,39,69,2,33,12,22,931.6,69925,71267,6450719,16250657,20146087,6490,15735,16441
Kilpilahti (Skoldvik),873,224,9866,15339,2005,2006,2008,2008,564,924,653,642,50,96,160,164,22,37,46,47,2503.3,188272,191886,8611939,29510489,34876595,9865,40489,49927
Kotka,856,319,10042,13551,2007,2006,2007,2007,774,1001,978,1017,70,99,208,230,18,42,44,48,2270.7,170637,173913,11407050,37548900,45191477,13326,51364,63116
Rauma,830,218,8622,8778,2002,2003,2004,2005,756,819,950,911,63,85,88,88,22,42,22,23,2383.8,179195,182636,9670737,33370739,36303652,11651,41385,51302
Turku,824,89,6801,1623,2002,1998,2006,2008,170,596,228,360,12,75,29,68,0,35,10,17,1206.3,89413,91130,5120550,12605323,15875015,6214,14809,15589
Mariehamn,726,29,2903,336,1994,1993,1993,1994,81,229,101,113,8,23,13,16,2,16,54,67,563.7,42325,43137,1598027,5359134,6841875,2201,6352,6549
Uusikaupunki,548,149,6720,4438,2005,2002,2009,2010,604,839,775,904,46,90,115,214,14,66,20,28,1415.2,106399,108441,4494355,11884717,15029255,8201,26657,32234
Sunila,523,140,2662,1925,2001,2001,2003,2003,481,623,510,494,39,67,65,80,15,32,21,22,813.4,61103,62277,2880975,7349504,9560673,5509,17490,21679
Lakulahti,395,202,2194,3163,2003,2004,2006,2006,635,727,878,890,63,81,174,177,20,36,63,64,662.6,49747,50702,3615476,10527859,13673256,9153,33086,42241
Kokkola,384,189,4127,7092,2005,2005,2011,2011,804,920,1102,1149,86,97,182,189,24,37,37,38,669.8,50444,51413,4356386,12387990,16515860,11345,43452,56309
Mustola,366,49,313,435,1994,1996,2001,2002,175,422,467,498,31,59,114,118,14,18,31,29,95.5,7172,7310,1373579,3928161,5639687,3753,12195,17528
Roytta,365,123,2114,2710,2005,2006,2005,2005,1276,865,954,948,101,90,137,142,18,42,30,30,706.8,52854,53869,4124994,12299483,16916087,11301,45293,58421
Inkoo,326,111,507,722,1995,1999,2004,2004,157,452,468,477,17,83,89,90,14,40,40,40,169.7,12620,12862,956861,2939785,3915599,2935,10651,14008
Oulu,320,112,4745,4575,2003,2005,2001,2002,1007,1043,1155,1155,90,110,125,136,17,54,41,47,1234.1,92657,94436,5571698,13713103,16750725,17412,51738,61055
Lapaluoto,312,85,758,1066,1999,2003,2003,2004,524,695,643,699,58,91,101,103,19,33,30,31,270.5,20319,20709,2536352,7257433,10252391,8129,27735,38411
Kaskinen,265,109,951,1301,1997,2001,2002,2004,567,856,541,760,66,113,201,236,23,42,39,39,249.2,18743,19103,2172950,6163377,8592050,8200,28460,38495
Kallviken,240,77,8995,15731,2004,2005,2010,2010,127,2889,1687,1827,29,264,596,595,37,87,128,132,974.9,74344,75772,5242044,12075494,14606882,21842,79507,94802
Mantyluoto,223,149,1272,1744,2003,2005,2006,2006,752,903,951,943,65,91,183,181,22,47,70,72,361.2,27258,27781,2323560,6780140,9463183,10420,39127,52062
Korrvik,215,21,3000,322,2000,1989,2009,2009,83,247,328,333,8,19,80,79,2,68,6,6,418.7,27289,27813,1903501,5116719,6344974,8853,20508,19392
Vasklot (Vaskiluoto),201,59,762,653,1991,2000,1995,2002,251,789,323,534,10,82,80,110,23,53,58,54,232.1,17200,17531,1370540,3747701,4861379,6819,20315,24329
Hamina,185,86,458,625,1999,2002,2003,2003,652,719,785,800,66,88,115,116,29,34,36,37,151.7,11394,11612,1471676,4461914,5896746,7955,27749,37587
Loviisa,156,76,574,820,2001,2001,2006,2007,631,808,759,736,54,81,170,167,31,46,42,44,161.9,12222,12456,1484550,4222318,5866811,9516,34797,45938
Ajos,155,78,1562,1518,2006,2005,2006,2007,920,840,873,901,70,77,94,106,12,39,24,31,418.3,31416,32019,1754652,4360226,5539427,11320,35654,43357
Pietarsaari,152,75,753,1021,2002,2002,2003,2004,789,762,864,878,75,70,111,113,24,37,33,32,221.6,16661,16981,1407562,4314831,5628610,9260,35781,46169
Raahe,116,23,160,204,1995,2003,2003,2004,101,435,232,249,11,48,61,63,15,28,36,35,57.4,4298,4381,272760,779525,1105514,2351,8667,11810
Rahja,107,66,506,703,2001,2002,2005,2005,814,1066,1047,1066,79,118,155,157,36,38,48,49,155.5,11706,11931,1224652,3561562,4935487,11445,42743,55969
Pori,103,61,913,1306,2005,2004,2009,2008,634,958,1085,1163,56,83,259,298,16,36,50,55,248.3,18181,18530,1166256,3712799,4461031,11323,42815,52561
Porkkala,101,61,220,288,1996,2000,2007,2007,185,470,586,566,27,73,198,194,22,115,120,112,91.5,6828,6959,777881,1932737,2432662,7702,23216,29156
Tahkoluoto,79,65,1275,2187,2002,2002,2010,2011,637,1050,1517,1520,67,112,437,435,39,54,112,112,170.8,12960,13208,1116253,2929396,3854851,14130,52154,66379
Tervsund,79,18,45,62,1996,1994,1996,1996,170,245,222,223,16,27,33,34,10,20,28,28,14.8,1109,1130,192753,547407,782126,2440,7915,11321
Klamila,73,67,654,982,2002,2001,2003,2004,198,721,666,655,37,79,352,380,39,67,69,67,134.9,10173,10369,718138,2296313,2598702,9838,35194,44830
Vuoksen Terminal,56,17,28,38,2001,2000,2001,2002,69,344,261,254,12,71,99,106,3,28,63,56,8.2,616,628,119967,344163,494588,2142,6983,10043
Farjsundet,47,12,73,97,1991,1999,2003,2003,177,379,489,497,20,35,124,126,12,17,22,22,22.0,1649,1680,175251,503674,696854,3729,14628,18606
