Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,1678,346,1733,2421,2000,2003,2003,2003,151,218,245,244,18,27,44,44,25,40,45,45,600.9,45120,45987,3898920,11537772,16323746,2324,8855,11908
Ro-Ro,974,29,2332,1366,1990,2000,2003,2003,82,147,146,154,7,12,15,15,9,16,14,14,796.1,59771,60919,1807515,6172426,4604896,1856,4407,5119
Chemical tanker,753,97,2609,3748,2005,2005,2005,2005,267,289,370,371,30,38,57,57,20,24,33,33,1124.5,84392,86013,4513012,13126848,15729050,5993,19322,23043
Service - tug,689,50,52,30,1978,1976,1981,1979,157,309,234,231,33,561,375,466,15,128,190,221,283.1,21256,21664,778988,1842072,2466435,1131,2919,3942
Ferry-RoPax,603,30,3644,402,1991,1990,1997,1997,181,1964,244,263,12,720,159,317,6,191,33,59,1084.6,80688,82237,3840768,8990982,11395402,6369,13862,15744
Container,392,47,683,821,2008,2007,2007,2007,83,165,145,147,8,16,30,31,17,18,22,23,251.8,18890,19253,925650,3195099,3630186,2361,8656,10367
Service - other,362,23,704,302,1988,1984,1995,1995,199,366,466,493,35,199,148,169,21,175,175,192,487.5,35058,35731,2106334,4321735,4656932,5819,12947,14619
Oil tanker,221,10,525,794,1989,1996,2004,2004,205,209,274,272,19,38,41,41,15,16,46,45,258.2,19394,19766,856388,1457435,1575700,3875,10915,13801
Bulk carrier,160,17,322,500,2016,2010,2015,2015,294,297,286,288,29,45,42,43,17,108,58,61,76.5,5746,5856,625666,1442694,1758122,3910,12321,15358
Miscellaneous - fishing,106,16,50,23,1981,1981,1979,1979,363,1053,1089,1068,68,117,1084,1229,28,233,768,669,122.3,9185,9362,163714,363150,412864,1544,3635,4309
Cruise,15,10,193,20,1993,1990,2010,2003,193,293,474,354,17,24,68,53,7,18,80,57,53.3,4004,4081,28144,340209,510778,1876,19887,27698
Ferry-pax only,7,4,4,1,1959,1965,1967,1958,1107,4450,2765,2013,786,1250,2728,2142,146,458,396,295,20.2,1516,1545,72370,147388,185664,10339,24042,31695
Liquefied gas tanker,3,3,12,12,2009,2009,2016,2016,76,251,428,418,29,34,63,63,25,29,51,51,4.2,316,322,9424,27303,30151,3141,17198,22616
Vehicle,3,3,7,2,2004,2004,2004,2004,142,122,117,117,11,10,10,10,20,38,35,34,2.3,170,173,2305,10164,11771,768,2921,3143
