Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Naantali,462,90,926,824,1988,1995,2001,2002,204,1051,248,262,12,400,224,147,13,129,66,41,518.3,38842,39588,1774443,5576704,5589649,3841,10821,13904
Kilpilahti (Skoldvik),335,59,1293,1854,2004,2003,2005,2005,232,237,381,379,29,51,47,46,26,34,50,49,558.1,41894,42698,2136973,5755496,6780953,6379,20145,24139
Rauma,334,110,1237,1090,2001,1999,2005,2005,251,305,279,290,21,54,27,30,22,120,52,44,430.9,32343,32964,1255979,3403629,4152415,3760,12125,14609
Harvaluoto,312,13,186,58,1976,1986,1981,1976,72,1252,124,100,7,472,457,277,9,15,14,15,127.9,9600,9785,495931,1987286,1554697,1590,3650,5108
Kotka,280,105,381,495,2006,2003,2006,2006,93,248,166,168,13,52,41,39,20,30,34,31,184.3,13719,13982,660658,2010111,2474628,2359,8241,10209
Oulu,269,82,473,551,2003,2003,2003,2006,140,232,208,225,16,24,53,50,20,46,24,24,200.8,15049,15338,938782,2417229,2885656,3490,10483,12597
Asikkala,254,42,39,56,1982,1993,1989,1990,120,175,149,149,14,29,38,36,10,23,31,30,53.1,3988,4064,245447,720125,932331,966,2907,4110
Mustola,224,44,52,70,1984,1992,1990,1992,191,198,205,200,32,37,59,57,7,9,10,9,42.4,3187,3248,297548,969608,1130306,1328,3955,5599
Turku,213,49,949,160,1989,1991,2003,2004,110,418,241,184,11,344,41,62,16,173,25,28,268.7,19943,20326,787503,1920970,2390810,3697,8446,8714
Kokkola,195,98,464,668,2003,2002,2004,2006,199,239,346,345,20,74,48,46,33,48,47,46,165.4,12417,12656,810157,2258148,2842431,4155,13683,17010
Sunila,191,57,296,231,2001,2000,2005,2004,143,341,137,187,14,88,46,48,35,26,36,35,177.2,13307,13563,421964,1113987,1404978,2209,6862,8713
Hanko,191,40,694,455,2002,1992,2007,2007,145,198,173,173,12,101,15,15,7,60,7,7,191.0,14341,14616,530810,1023345,1223269,2779,6764,7451
Vuosaari,189,73,326,273,2005,2003,2009,2007,83,165,106,113,8,20,17,19,12,41,20,22,106.1,7895,8046,337521,990444,1203866,1786,6087,7524
Mariehamn,182,26,990,126,1989,1986,1992,1996,176,747,190,209,12,148,195,251,0,157,24,30,262.5,19708,20086,738389,1857105,2356404,4057,9405,9926
Ajos,163,54,499,564,2003,2002,2004,2005,141,332,253,310,15,31,53,55,15,30,21,23,179.9,13180,13433,865510,2225972,2651321,5310,15806,18779
Lakulahti,154,80,271,384,2000,2002,2003,2003,272,321,316,321,36,55,52,44,20,33,44,41,129.8,9739,9926,647645,1829240,2303765,4205,13670,17113
Uusikaupunki,125,69,201,142,1997,1996,2007,2006,203,598,220,227,25,83,109,104,23,150,156,104,97.0,7285,7425,302030,756040,1007660,2416,7177,9340
Pietarsaari,117,46,164,217,2005,2001,2004,2006,216,231,278,274,19,36,58,53,19,33,38,41,59.5,4466,4552,355868,984213,1295098,3042,10918,14057
Lapaluoto,112,70,80,113,2002,2002,2005,2005,99,202,188,188,17,38,54,54,48,75,55,53,39.0,2930,2986,227062,655688,922818,2027,7283,9862
Helsinki,108,31,605,87,1990,1986,1990,1991,182,279,208,250,12,238,53,181,6,575,136,434,203.9,15227,15519,496072,1176811,1401185,4593,10389,10648
Korpo (Korppoo),103,16,61,26,1984,1986,1985,1991,183,1824,534,495,8,476,1263,858,28,143,82,85,85.9,6449,6573,509265,1138161,1477585,4944,11174,15867
Roytta,98,34,144,116,2005,2004,1999,2005,90,182,186,134,11,22,45,32,22,52,87,60,72.4,5266,5367,335746,824922,960001,3426,9560,11399
Inkoo,83,50,98,126,1992,1993,2000,2001,134,231,297,284,16,98,36,35,16,97,43,39,52.8,3962,4038,157256,480255,618298,1895,6875,9187
Korrvik,82,15,973,101,1993,1986,2001,2001,178,219,305,314,12,28,30,30,0,22,21,22,153.4,11074,11286,625510,1546841,1900072,7628,16346,14996
Kaskinen,81,65,82,110,2001,2002,2003,2003,210,249,251,247,23,32,46,44,26,32,31,32,31.2,2344,2389,241349,690148,967601,2980,10612,14216
Tervsund,81,15,79,112,2008,1986,2014,2014,287,220,277,278,27,62,34,34,15,41,29,29,26.6,1997,2035,258358,636836,759646,3190,9628,12323
Mantyluoto,77,52,131,178,2002,2001,2004,2005,291,296,350,347,32,70,64,61,36,66,68,71,51.0,3831,3905,302586,844933,1136121,3930,13264,17261
Vuoksen Terminal,60,6,9,13,1978,1973,1982,1983,138,250,164,152,18,45,39,28,18,26,27,23,6.3,471,480,50627,139337,197521,844,2618,3721
Rahja,57,38,59,48,1994,1997,1993,2000,111,191,240,170,17,32,81,58,26,31,29,32,33.8,2536,2585,162507,393823,489059,2851,8190,10061
Vasklot (Vaskiluoto),55,30,115,159,2001,2000,2004,2004,184,208,240,244,18,23,30,30,16,22,19,18,38.8,2886,2942,192799,549534,684490,3505,11530,14200
Hamina,51,25,62,83,1995,1998,2000,2000,379,371,485,494,38,52,78,77,24,33,40,40,24.6,1846,1882,159389,461473,645816,3125,11633,15369
