Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Wulkaprodersdorf,1,1,1,0,1971,1971,1971,1971,229,229,229,229,29,29,29,29,2,2,2,2,0.2,15,16,1723,13286,6270,1723,4206,5995
Schrattenthal,1,1,21,34,2004,2004,2004,2004,915,915,915,915,75,75,75,75,33,33,33,33,2.7,210,214,30484,73204,82580,30484,92764,108483
Prinzersdorf,1,1,0,0,2020,2020,2020,2020,18,18,18,18,26,26,26,26,3,3,3,3,0.0,2,2,601,1420,1902,601,1551,2094
Neufelden,1,1,21,38,2006,2006,2006,2006,676,676,676,676,59,59,59,59,8,8,8,8,1.8,136,139,16794,33238,41226,16794,53613,62335
Judendorf,1,1,13,3,2006,2006,2006,2006,462,462,462,462,25,25,25,25,3,3,3,3,2.7,208,212,20112,49736,61027,20112,42932,39102
Freudenau,1,1,0,0,2018,2018,2018,2018,236,236,236,236,49,49,49,49,1,1,1,1,0.1,9,9,10,20,22,10,22,25
Wien,1,1,0,0,2018,2018,2018,2018,213,213,213,213,20,20,20,20,0,0,0,0,0.1,6,6,9,18,20,9,20,22
Linz,1,1,0,0,2018,2018,2018,2018,41,41,41,41,11,11,11,11,5,5,5,5,0.1,9,9,556,595,561,556,1892,2515
Dobermannsdorf,1,1,20,38,2016,2016,2016,2016,211,211,211,211,21,21,21,21,3,3,3,3,0.9,67,68,8563,16986,19560,8563,24263,28021
Mitterkirchen,1,1,0,0,1975,1975,1975,1975,62,62,62,62,43,43,43,43,1,1,1,1,0.0,3,3,669,1582,2118,669,1727,2332
Nuziders,1,1,0,0,1997,1997,1997,1997,68,68,68,68,9,9,9,9,6,6,6,6,0.1,7,7,147,363,445,147,313,285
Falkenstein,1,1,35,66,2003,2003,2003,2003,625,625,625,625,300,300,300,300,5,5,5,5,5.1,394,402,34217,72058,79351,34217,84042,105043
Sankt Margrethen,1,1,35,59,1994,1994,1994,1994,1326,1326,1326,1326,68,68,68,68,17,17,17,17,4.1,315,321,26518,52485,65098,26518,84658,98431
