int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,11,10,1994,1994,1999,1996,458463893,62024082,2031,2117,1835,1840,123,9483
General cargo,20,8,2001,2005,2009,2009,528112438,554235108,1719,3817,3744,3687,113,8701
Service - other,6,3,1988,1995,2001,1998,77314484,35392413,1682,3140,2971,2776,37,2802
Chemical tanker,5,4,2010,2009,2014,2014,274909868,407366219,2032,2003,2648,2541,45,3456
Bulk carrier,5,1,2003,2003,2003,2003,89386232,150614221,1488,1488,1053,1053,6,449
Ro-Ro,6,4,2002,2002,2002,2002,517185759,295464763,3710,3710,3710,3710,119,9176
Offshore,1,1,2009,2009,2009,2009,24915632,14925245,6351,6351,6351,6351,17,1313
Oil tanker,1,1,2005,2005,2005,2005,52342151,83033942,2359,2359,2359,2359,8,603
Miscellaneous - fishing,1,1,1997,1997,1997,1997,2994093,1342343,10184,10184,10184,10184,6,429
Yacht,2,1,1911,1911,1911,1911,1365967,1464030,2254,2254,2254,2254,0,0
Container,1,1,2010,2010,2010,2010,51278826,63758545,2450,2450,2450,2450,11,813
