,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,659,Saint Kitts and Nevis,792,Türkiye,89," Cruise ships, excursion boats, ferry boats",1348998.0,4447.0,"Türkiye -  Cruise ships, excursion boats, ferry boats"
1,659,Saint Kitts and Nevis,328,Guyana,25," Salt (sodium chloride) including solution, salt water",130466.864,4130.172961,"Guyana -  Salt (sodium chloride) including solution, salt water"
2,659,Saint Kitts and Nevis,616,Poland,89," Cruise ships, excursion boats, ferry boats",2922079.426,3379.771216,"Poland -  Cruise ships, excursion boats, ferry boats"
3,659,Saint Kitts and Nevis,840,United States of America,72," Pig iron, non-alloy, <0.5% phosphorus",475042.217,1811.788745,"United States of America -  Pig iron, non-alloy, <0.5% phosphorus"
4,659,Saint Kitts and Nevis,084,Belize,22, Mineral and aerated waters not sweetened or flavoured,558115.47,1384.68175,Belize -  Mineral and aerated waters not sweetened or flavoured
5,659,Saint Kitts and Nevis,740,Suriname,03," Ornamental fish, live",622604.412,1382.5,"Suriname -  Ornamental fish, live"
6,659,Saint Kitts and Nevis,840,United States of America,85, Electric motors of an output < 37.5 watts,23973552.413,961.8341350000001,United States of America -  Electric motors of an output < 37.5 watts
7,659,Saint Kitts and Nevis,662,Saint Lucia,22, Mineral and aerated waters not sweetened or flavoured,803011.546,747.8102190000001,Saint Lucia -  Mineral and aerated waters not sweetened or flavoured
8,659,Saint Kitts and Nevis,028,Antigua and Barbuda,22, Mineral and aerated waters not sweetened or flavoured,659552.556,739.743978,Antigua and Barbuda -  Mineral and aerated waters not sweetened or flavoured
9,659,Saint Kitts and Nevis,308,Grenada,68," Stone setts, curbstones, flagstones (except slate)",68222.44,241.43,"Grenada -  Stone setts, curbstones, flagstones (except slate)"
10,659,Saint Kitts and Nevis,780,Trinidad and Tobago,22, Mineral and aerated waters not sweetened or flavoured,126359.165,230.461893,Trinidad and Tobago -  Mineral and aerated waters not sweetened or flavoured
11,659,Saint Kitts and Nevis,670,Saint Vincent and the Grenadines,22, Mineral and aerated waters not sweetened or flavoured,334608.083,223.285879,Saint Vincent and the Grenadines -  Mineral and aerated waters not sweetened or flavoured
12,659,Saint Kitts and Nevis,308,Grenada,22, Mineral and aerated waters not sweetened or flavoured,172682.477,222.966,Grenada -  Mineral and aerated waters not sweetened or flavoured
13,659,Saint Kitts and Nevis,670,Saint Vincent and the Grenadines,25," Salt (sodium chloride) including solution, salt water",20127.078,198.306751,"Saint Vincent and the Grenadines -  Salt (sodium chloride) including solution, salt water"
14,659,Saint Kitts and Nevis,308,Grenada,25," Salt (sodium chloride) including solution, salt water",43281.613,174.61,"Grenada -  Salt (sodium chloride) including solution, salt water"
15,659,Saint Kitts and Nevis,250,France,07," Potatoes seed, fresh or chilled",418314.947,173.558579,"France -  Potatoes seed, fresh or chilled"
16,659,Saint Kitts and Nevis,470,Malta,89," Cruise ships, excursion boats, ferry boats",10958196.702,148.0,"Malta -  Cruise ships, excursion boats, ferry boats"
17,659,Saint Kitts and Nevis,804,Ukraine,73, Sheet piling of iron or steel,258374.563,128.78977700000002,Ukraine -  Sheet piling of iron or steel
18,659,Saint Kitts and Nevis,500,Montserrat,22, Mineral and aerated waters not sweetened or flavoured,111383.16,106.82286,Montserrat -  Mineral and aerated waters not sweetened or flavoured
19,659,Saint Kitts and Nevis,840,United States of America,22, Mineral and aerated waters not sweetened or flavoured,663662.742,90.268204,United States of America -  Mineral and aerated waters not sweetened or flavoured
20,659,Saint Kitts and Nevis,840,United States of America,90," Optical fibres, except for telecommunications",3359959.36,86.90554300000001,"United States of America -  Optical fibres, except for telecommunications"
21,659,Saint Kitts and Nevis,826,United Kingdom,22, Mineral and aerated waters not sweetened or flavoured,571550.754,83.92719199999999,United Kingdom -  Mineral and aerated waters not sweetened or flavoured
22,659,Saint Kitts and Nevis,840,United States of America,78, Lead refined unwrought,49338.274,77.736514,United States of America -  Lead refined unwrought
23,659,Saint Kitts and Nevis,780,Trinidad and Tobago,39, Polyethylene - specific gravity <0.94 in primary form,524108.423,56.88274,Trinidad and Tobago -  Polyethylene - specific gravity <0.94 in primary form
24,659,Saint Kitts and Nevis,500,Montserrat,73, Sheet piling of iron or steel,7713.082,46.595316,Montserrat -  Sheet piling of iron or steel
25,659,Saint Kitts and Nevis,276,Germany,90," Optical fibres, except for telecommunications",4511561.021,46.397968999999996,"Germany -  Optical fibres, except for telecommunications"
26,659,Saint Kitts and Nevis,662,Saint Lucia,70," Glass cullet, waste or scrap, glass in the mass",14468.734,35.237315,"Saint Lucia -  Glass cullet, waste or scrap, glass in the mass"
27,659,Saint Kitts and Nevis,156,China,90," Optical fibres, except for telecommunications",504116.192,33.403605999999996,"China -  Optical fibres, except for telecommunications"
28,659,Saint Kitts and Nevis,840,United States of America,47, Mechanical wood pulp,1859.691,33.1342,United States of America -  Mechanical wood pulp
29,659,Saint Kitts and Nevis,752,Sweden,07," Potatoes seed, fresh or chilled",90202.77,30.0,"Sweden -  Potatoes seed, fresh or chilled"
30,659,Saint Kitts and Nevis,840,United States of America,96," Worked ivory, articles of ivory",407793.737,25.501203,"United States of America -  Worked ivory, articles of ivory"
31,659,Saint Kitts and Nevis,840,United States of America,76," Aluminium unwrought, not alloyed",94215.188,24.178593,"United States of America -  Aluminium unwrought, not alloyed"
32,659,Saint Kitts and Nevis,308,Grenada,84, Nuclear reactors,53403.827,23.922523,Grenada -  Nuclear reactors
33,659,Saint Kitts and Nevis,528,Netherlands (Kingdom of the),15," Lard, other pig fat and poultry fat, rendered",11684.845,20.976304,"Netherlands (Kingdom of the) -  Lard, other pig fat and poultry fat, rendered"
34,659,Saint Kitts and Nevis,840,United States of America,74, Copper mattes,61807.807,19.846937,United States of America -  Copper mattes
35,659,Saint Kitts and Nevis,028,Antigua and Barbuda,39, Polyethylene - specific gravity <0.94 in primary form,60409.668,19.500141,Antigua and Barbuda -  Polyethylene - specific gravity <0.94 in primary form
36,659,Saint Kitts and Nevis,616,Poland,20," Cucumbers,gherkins, prepared or preserved by vinegar",102864.414,16.460245,"Poland -  Cucumbers,gherkins, prepared or preserved by vinegar"
37,659,Saint Kitts and Nevis,052,Barbados,22, Mineral and aerated waters not sweetened or flavoured,12384.28,15.884004999999998,Barbados -  Mineral and aerated waters not sweetened or flavoured
38,659,Saint Kitts and Nevis,804,Ukraine,72," Pig iron, non-alloy, <0.5% phosphorus",4129.271,15.420335999999999,"Ukraine -  Pig iron, non-alloy, <0.5% phosphorus"
39,659,Saint Kitts and Nevis,804,Ukraine,84, Nuclear reactors,77717.858,12.986938,Ukraine -  Nuclear reactors
40,659,Saint Kitts and Nevis,500,Montserrat,87, Pedestrian controlled tractors,171890.813,12.086322000000001,Montserrat -  Pedestrian controlled tractors
41,659,Saint Kitts and Nevis,328,Guyana,21," Coffee extracts, essences, concentrates, preparations",19287.23,10.68431,"Guyana -  Coffee extracts, essences, concentrates, preparations"
42,659,Saint Kitts and Nevis,840,United States of America,03," Ornamental fish, live",76817.598,10.213286,"United States of America -  Ornamental fish, live"
43,659,Saint Kitts and Nevis,108,Burundi,25," Salt (sodium chloride) including solution, salt water",978.229,9.655331,"Burundi -  Salt (sodium chloride) including solution, salt water"
44,659,Saint Kitts and Nevis,208,Denmark,85, Electric motors of an output < 37.5 watts,700465.826,8.819911,Denmark -  Electric motors of an output < 37.5 watts
45,659,Saint Kitts and Nevis,076,Brazil,85, Electric motors of an output < 37.5 watts,642148.0,7.71315,Brazil -  Electric motors of an output < 37.5 watts
46,659,Saint Kitts and Nevis,724,Spain,49," Brochures, leaflets and similar, in single sheets",3682.283,7.218991,"Spain -  Brochures, leaflets and similar, in single sheets"
47,659,Saint Kitts and Nevis,250,France,23," Flour or meal, pellet of meat or offal for animal fee",13145.941,6.849368,"France -  Flour or meal, pellet of meat or offal for animal fee"
48,659,Saint Kitts and Nevis,250,France,62," Mens, boys overcoats of wool or hair, not knit",59730.859,6.441717,"France -  Mens, boys overcoats of wool or hair, not knit"
49,659,Saint Kitts and Nevis,276,Germany,70," Glass cullet, waste or scrap, glass in the mass",4806.238,5.994229000000001,"Germany -  Glass cullet, waste or scrap, glass in the mass"
50,659,Saint Kitts and Nevis,203,Czechia,90," Optical fibres, except for telecommunications",1127191.0,5.545,"Czechia -  Optical fibres, except for telecommunications"
51,659,Saint Kitts and Nevis,052,Barbados,49," Brochures, leaflets and similar, in single sheets",1990.16,4.934147,"Barbados -  Brochures, leaflets and similar, in single sheets"
52,659,Saint Kitts and Nevis,724,Spain,94," Seats, aircraft",1852.877,4.69,"Spain -  Seats, aircraft"
53,659,Saint Kitts and Nevis,276,Germany,22, Mineral and aerated waters not sweetened or flavoured,35219.563,4.517,Germany -  Mineral and aerated waters not sweetened or flavoured
54,659,Saint Kitts and Nevis,028,Antigua and Barbuda,21," Coffee extracts, essences, concentrates, preparations",8050.376,4.108765,"Antigua and Barbuda -  Coffee extracts, essences, concentrates, preparations"
55,659,Saint Kitts and Nevis,840,United States of America,84, Nuclear reactors,93406.286,3.5738659999999998,United States of America -  Nuclear reactors
56,659,Saint Kitts and Nevis,308,Grenada,73, Sheet piling of iron or steel,1384.68,3.02,Grenada -  Sheet piling of iron or steel
57,659,Saint Kitts and Nevis,826,United Kingdom,94," Seats, aircraft",11104.113,2.828042,"United Kingdom -  Seats, aircraft"
58,659,Saint Kitts and Nevis,250,France,64," Waterproof footwear (Wellingtons etc), metal toe cap",94682.398,2.794342,"France -  Waterproof footwear (Wellingtons etc), metal toe cap"
59,659,Saint Kitts and Nevis,840,United States of America,39, Polyethylene - specific gravity <0.94 in primary form,12870.177,2.7640149999999997,United States of America -  Polyethylene - specific gravity <0.94 in primary form
60,659,Saint Kitts and Nevis,826,United Kingdom,95," Rideable wheeled toys, dolls carriages",267.69,2.682296,"United Kingdom -  Rideable wheeled toys, dolls carriages"
61,659,Saint Kitts and Nevis,500,Montserrat,27," Anthracite, not agglomerated",6273.402,2.6696050000000002,"Montserrat -  Anthracite, not agglomerated"
62,659,Saint Kitts and Nevis,780,Trinidad and Tobago,73, Sheet piling of iron or steel,1355.651,2.3625659999999997,Trinidad and Tobago -  Sheet piling of iron or steel
63,659,Saint Kitts and Nevis,780,Trinidad and Tobago,85, Electric motors of an output < 37.5 watts,8085.326,2.293034,Trinidad and Tobago -  Electric motors of an output < 37.5 watts
64,659,Saint Kitts and Nevis,780,Trinidad and Tobago,70," Glass cullet, waste or scrap, glass in the mass",6219.835,2.185,"Trinidad and Tobago -  Glass cullet, waste or scrap, glass in the mass"
65,659,Saint Kitts and Nevis,036,Australia,22, Mineral and aerated waters not sweetened or flavoured,13103.333,2.013589,Australia -  Mineral and aerated waters not sweetened or flavoured
66,659,Saint Kitts and Nevis,180,"Congo, Dem. Rep. of the",96," Worked ivory, articles of ivory",436.141,1.909,"Congo, Dem. Rep. of the -  Worked ivory, articles of ivory"
67,659,Saint Kitts and Nevis,724,Spain,73, Sheet piling of iron or steel,312.232,1.85,Spain -  Sheet piling of iron or steel
68,659,Saint Kitts and Nevis,276,Germany,85, Electric motors of an output < 37.5 watts,293562.669,1.79247,Germany -  Electric motors of an output < 37.5 watts
69,659,Saint Kitts and Nevis,500,Montserrat,39, Polyethylene - specific gravity <0.94 in primary form,13200.712,1.762191,Montserrat -  Polyethylene - specific gravity <0.94 in primary form
