int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Gentil,322,169,2006,2006,2006,2006,4965191202,6733544645,411,1438,1916,1937,1104,84554
Tchatamba,12,11,2006,2006,2010,2011,293535516,505926862,524,1881,3468,3802,64,4948
Etame,29,22,2008,2008,2009,2009,1969912354,3666017597,489,2192,2803,2874,201,15508
Owendo,541,262,2007,2008,2009,2009,25945744188,39298117973,633,2742,2143,2393,2771,213917
Cap Lopez,40,36,2008,2009,2012,2012,11608149784,19931053113,1367,3632,3383,3372,983,72497
Libreville,20,12,1982,1994,2010,2011,122132064,123629758,573,1094,607,608,62,4707
Oguandjo,23,23,2009,2009,2009,2009,11341523246,21454815474,4385,4241,5878,5909,693,53686
M'Bya,17,10,2007,2005,2009,2009,363036335,700658694,131,533,3031,3498,27,2100
Gamba,33,29,2009,2010,2009,2009,12295273426,22682005160,7612,5702,6683,6666,1088,84250
Lucina,2,2,2002,2002,1989,1988,14846056,23428281,359,359,103,102,11,797
