Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,293,181,472,698,1998,1999,2001,2001,259,359,459,471,22,30,106,110,15,40,59,60,116.8,8803,8972,1209609,3565250,5067894,4128,15302,20903
Oil tanker,119,11,99,142,1982,1989,1985,1986,193,156,337,333,26,18,115,114,14,25,23,23,72.7,5463,5568,554433,150748,208355,4659,12174,15443
Miscellaneous - fishing,94,26,32,9,1986,1985,1988,1987,778,1739,1919,1249,120,318,1751,1574,70,302,1083,979,190.3,14287,14561,66521,147556,167756,708,1665,1974
Bulk carrier,72,59,1356,2427,2010,2011,2011,2011,409,527,534,536,26,41,58,59,48,91,97,98,129.3,9741,9928,627240,1621589,1933174,8712,35524,42993
Service - tug,46,10,10,4,1998,1991,2003,2000,309,296,706,655,34,151,692,619,27,51,125,117,42.8,3215,3276,103848,245570,328805,2258,5829,7871
Chemical tanker,30,25,87,137,2006,2007,2006,2006,222,230,244,244,20,37,37,37,23,54,71,73,47.2,3543,3611,107179,361811,430481,3573,13627,16419
Container,13,9,74,82,2005,2005,2010,2010,237,280,227,233,15,17,18,19,14,22,13,14,12.4,933,951,76483,251200,288194,5883,21290,25531
Service - other,10,6,3,5,1981,1980,1988,1988,195,191,246,257,27,205,46,42,12,35,28,29,5.1,380,387,31538,64710,69729,3154,7018,7924
Ferry-RoPax,5,3,117,13,1988,1990,1989,1989,75,588,970,605,8,36,119,114,5,17,18,18,16.8,1263,1288,80236,198418,243460,16047,34254,31199
Refrigerated bulk,4,4,182,183,1998,1998,1993,1993,2715,3325,5203,5194,192,214,423,423,32,116,258,258,75.0,5644,5752,543158,1186827,1336849,135790,289366,312428
Cruise,2,2,5,1,1976,1976,1989,1988,148,148,172,169,14,14,16,16,8,8,7,7,1.7,126,128,2102,16647,23553,1051,7097,9049
Liquefied gas tanker,2,2,7,6,2004,2004,2007,2007,683,683,895,885,27,27,36,36,28,28,31,31,3.2,244,248,4535,13138,14509,2267,12414,16325
