Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ventspils,252,169,675,1021,1994,1997,2003,2004,317,778,574,569,31,94,160,109,14,60,67,64,231.5,17462,17797,1360886,2746828,3601252,5400,16772,21450
Mersrags,114,93,668,1168,1999,2000,2009,2010,287,636,511,523,23,79,50,49,28,128,125,120,127.0,9540,9723,540008,1378058,1742482,4737,17414,21872
Roja,105,86,655,967,1998,2000,2005,2007,278,584,677,647,22,40,159,144,21,74,127,104,139.8,10503,10705,810419,2065529,2583998,7718,24699,30301
Riga,87,54,187,163,1993,1996,1997,2002,137,306,362,216,23,99,129,61,12,26,22,29,75.3,5656,5764,294133,663245,874310,3381,10123,12783
Liepaja,69,53,109,159,1993,1995,2005,2008,378,1061,329,332,27,255,168,69,46,170,170,80,95.2,7148,7286,210828,503507,686323,3055,9984,13233
Engure,52,41,117,193,1997,1999,2008,2009,203,317,386,391,20,31,42,41,30,95,113,111,23.3,1753,1786,168661,416878,560710,3243,11397,14842
Skulte,4,4,2,1,1993,1993,1994,2002,1772,4191,633,240,577,1118,2229,1301,234,455,378,222,14.5,1088,1109,5238,12743,15976,1309,3473,4473
Lapmezciems,4,4,8,13,1992,1992,2005,2006,244,450,277,275,42,60,26,24,268,276,555,559,4.4,328,334,6803,14078,17736,1701,5378,6393
Salacgriva,2,2,0,0,1998,1998,1998,2001,1055,1055,639,554,37,37,38,33,206,206,210,188,1.7,127,130,1982,4640,6071,991,2522,3344
Jekabpils,1,1,22,22,2019,2019,2019,2019,147,147,147,147,16,16,16,16,7,7,7,7,0.5,36,36,7923,17959,23901,7923,30311,37892
