int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,354,238,2010,2010,2010,2010,5733713580,9146740926,483,789,768,757,1104,85080
Liquefied gas tanker,1237,288,2007,2009,2006,2006,444820720807,363670032064,3670,3221,3685,3576,55441,3755960
General cargo,496,193,1998,2002,2004,2004,3409527231,4519918518,331,1206,996,1006,701,53637
Vehicle,245,162,2009,2008,2009,2008,4974411912,1663548802,301,349,340,342,289,22390
Bulk carrier,777,421,2006,2009,2008,2008,27522922401,49662496786,481,1089,1009,1032,2848,220472
Oil tanker,724,439,2008,2009,2010,2010,77322517829,144553120844,419,1220,1257,1248,5744,444526
Container,791,163,2006,2006,2006,2006,20033944519,23174170975,414,564,543,554,2760,213247
Service - other,64,31,2009,2007,1999,1998,183348362,289300372,209,1100,987,1615,78,5938
Service - tug,1252,212,2007,2006,2008,2008,323900812,268177826,118,471,241,234,359,26952
Offshore,569,109,2010,2009,2012,2011,2390670441,1878125068,93,761,1150,1013,616,45118
Ferry-RoPax,1,1,1983,1983,1983,1983,8910271,989745,428,428,428,428,8,638
Ro-Ro,554,32,2011,2010,2011,2010,74349420,124797543,118,254,230,226,392,29506
Cruise,28,12,2010,2005,2010,2009,687134652,66326624,224,240,289,295,129,10016
Ferry-pax only,1,1,1972,1972,1972,1972,604107,89923,396,396,396,396,1,107
