int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,235,45,1986,1993,2003,2001,2011987001,200310481,125,185,228,222,573,44131
Container,136,25,2007,2008,2007,2007,542966563,670973684,115,286,315,320,145,11145
General cargo,94,26,1991,1991,2001,2001,126689562,154655375,190,220,232,233,57,4399
Liquefied gas tanker,28,2,2010,2008,2010,2010,19573685,20019400,129,132,186,186,19,1433
Ferry-RoPax,210,6,1968,1968,1968,1968,68480234,15240786,114,1875,387,349,82,6124
Refrigerated bulk,35,7,2003,2001,2002,2002,39751397,43922848,71,109,84,84,24,1838
Oil tanker,48,7,1999,2002,2000,2000,52044804,83082985,200,278,245,241,36,2749
Offshore,35,6,1994,2003,1998,1988,10106631,10561984,91,1002,235,326,32,2432
Vehicle,23,13,2007,2004,1998,1998,556482273,175241982,183,791,620,634,39,3052
Chemical tanker,48,8,2009,2006,2008,2008,68082617,107974462,185,393,240,242,50,3753
Miscellaneous - fishing,21,1,1955,1955,1955,1955,985879,856688,272,272,237,237,7,517
Service - tug,12,7,1983,1990,1990,1991,4046253,2448722,160,1655,873,700,11,801
Ferry-pax only,2,2,1971,1971,2000,1952,124181,35017,118,118,137,93,1,43
Ro-Ro,2,1,1975,1975,1975,1975,2553648,4353760,997,997,997,997,80,5970
Bulk carrier,2,2,2012,2012,2012,2012,10827787,17219824,253,253,246,244,1,78
Service - other,1,1,2005,2005,2005,2005,8558,2086,36,36,36,36,1,39
