int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Le Havre,2967,945,2007,2008,2010,2010,329434067730,369222416012,522,1476,1802,1939,34955,2690657
Calais,406,168,2004,2002,1999,2003,18451940979,7402466243,268,1196,3507,2330,3622,272396
Cherbourg,584,80,1998,2002,2001,2004,5330992325,1780519801,305,950,355,527,1297,98274
Cussac Fort- Edoc,39,36,2006,2005,2006,2006,254112837,367826495,785,928,1001,1013,65,4964
Saint Malo,510,194,1996,2000,1996,1999,1718781944,788453569,162,658,205,403,515,38712
Val-De-La-Haye,185,166,2006,2006,2008,2008,3589493686,5582322427,949,1156,1589,1586,498,38172
Montoir,694,401,2007,2008,2011,2011,63886548587,61432889353,902,1756,2899,2695,7983,530744
Rouen,302,231,2004,2005,2008,2008,4155452866,6267156997,658,1056,1475,1575,614,46997
Gonfreville L'Orcher,916,419,2006,2007,2008,2009,14895887434,9491361666,287,799,718,770,1932,146917
Fos Sur Mer,2523,1109,2006,2007,2009,2009,92105463796,119672641490,541,1048,889,933,10050,748579
Grande-Synthe,380,217,2002,2003,2007,2006,760374572,1048378200,206,398,438,439,289,21770
Rogerville,307,169,2005,2007,2007,2007,2194122167,3477061748,267,801,965,973,621,47361
Dunkerque Est,1118,754,2005,2006,2010,2010,29894274763,54303013410,368,925,1695,1873,2777,211811
La Pallice,604,506,2006,2006,2010,2010,15346154794,24945704321,738,1334,1661,1878,2004,153838
Douarnenez,46,35,2000,2000,2008,2009,172320628,225354256,953,2117,1827,1849,104,7832
Lavera,666,398,2007,2008,2009,2009,11550297535,17003419116,715,1209,1222,1253,2490,191356
Dunkerque Ouest,863,273,2006,2007,2010,2010,21413387827,22429311900,225,812,692,743,2440,179714
Courrensan,331,157,2006,2003,2007,2008,1894121170,2239081454,249,748,601,682,734,56458
Donges,298,210,2009,2009,2010,2010,16554528694,29351197447,1026,1431,1709,1740,1682,128542
Cavalaire-Sur-Mer,7,7,2001,2001,2009,2005,55166977,15164519,107,2232,286,371,24,1830
Saint Louis Du Rhone,182,44,1993,1999,2001,2003,276869748,402371509,308,643,583,630,72,5422
Pujaut,5,5,1994,1994,1996,1996,2296519,2938444,300,315,322,324,1,70
Saintjean Cap Ferrat,32,20,1990,1990,1996,1992,198740765,27855088,307,579,398,401,64,4930
Mirabel,3,2,1987,1988,1988,1988,1419507,1757945,324,389,356,357,0,36
Saint-Desirat,12,7,1992,1995,1994,1993,7435560,7754230,324,1199,478,415,11,824
Les Angles,6,5,1990,1991,1991,1991,2712203,3332432,326,346,329,330,1,77
Villeneuve-Les-Avignon,10,7,1991,1992,1993,1993,5941532,7569423,270,454,441,433,2,172
Vallabregues,1,1,1986,1986,1986,1986,651218,796976,494,494,494,494,0,20
Lyon,4,4,1989,1989,1990,1989,2711663,3695658,532,558,539,543,1,97
Grandcamp,57,57,2005,2005,2005,2006,1562848020,1755477983,1187,1805,2015,2040,282,21548
