dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,2258,695,2001,2004,2005,2005,1887760126,2603751122,120,253,244,241,683,51655
Chemical tanker,1728,377,2007,2007,2008,2008,3903916559,5948775399,187,256,278,277,1887,143485
Container,858,191,2004,2006,2005,2005,18285104476,20847512294,318,637,662,650,2536,194525
Offshore,130,23,2006,2003,2009,2009,529726359,552299754,196,284,276,283,151,11468
Oil tanker,285,59,2013,2010,2012,2011,1602912709,2807841444,163,366,354,368,549,41760
Service - other,1620,65,2006,2003,2006,2006,1601464831,2060977693,182,732,427,406,1049,78889
Cruise,472,102,1997,1998,2004,2002,3444682396,372831537,145,184,200,197,1050,80851
Ferry-RoPax,2772,44,1997,1996,1998,2000,30842852700,6171349195,241,908,379,379,7786,598710
Liquefied gas tanker,259,54,2010,2007,2013,2013,2197876228,1880746157,290,578,889,791,480,33970
Miscellaneous - fishing,478,72,2000,1998,1997,1996,135405032,77696096,287,726,640,625,259,19436
Vehicle,97,34,2007,2006,2005,2005,498714647,170961320,85,142,127,131,58,4457
Bulk carrier,438,206,2003,2007,2009,2009,2068802605,3526749419,158,255,271,271,309,23586
Service - tug,1487,76,2001,2002,1995,1992,316657901,274119510,154,280,375,401,788,59221
Ro-Ro,103,16,2009,2004,2008,2007,648863749,329946794,167,851,831,1046,254,19277
Refrigerated bulk,4,4,1996,1996,1995,1995,3218236,3721963,52,84,76,78,3,249
Ferry-pax only,52,11,1977,1972,1999,1991,41991147,6553904,204,1561,2124,1490,72,5378
Yacht,10,1,2010,2010,2010,2010,2736910,331078,380,380,552,552,5,383
