int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,3958,826,2007,2007,2010,2010,354974329932,387911162886,354,1176,1481,1462,37808,2915451
General cargo,5745,1773,2003,2003,2006,2006,24370373016,33999617814,579,870,927,915,5803,441503
Service - other,363,126,2002,2001,2001,2001,993401211,823111297,216,1003,730,515,535,40302
Vehicle,835,185,2004,2006,2006,2005,17829660297,5961167795,337,660,596,597,1706,130975
Chemical tanker,3930,1068,2006,2008,2009,2009,38556090434,60997954587,406,962,961,976,9387,716264
Bulk carrier,1309,861,2007,2009,2010,2010,77891928051,140386502456,1252,1817,1989,2028,6231,479306
Oil tanker,979,515,2009,2009,2010,2010,68637181712,126308915472,830,1347,1410,1417,6674,511914
Offshore,128,55,2006,2005,2010,2009,1581185873,1443631975,316,1010,975,921,325,23589
Liquefied gas tanker,1221,297,2008,2009,2012,2012,78074322197,64156094144,651,1885,2511,2376,10144,661437
Miscellaneous - fishing,708,173,1998,1997,1994,1992,346181125,229199878,368,1518,1119,1155,522,39224
Cruise,1313,163,2003,2000,2008,2007,30960235758,2865767390,208,300,284,288,7129,549671
Ferry-pax only,58,16,1988,1979,2000,1994,51481117,6457823,274,4025,1897,1447,84,6282
Ferry-RoPax,3980,93,1997,1996,1999,1999,49100574646,9242549316,155,1737,436,465,11515,874395
Ro-Ro,890,83,2003,2004,2006,2005,19776091173,8956393173,662,908,945,870,3681,283974
Refrigerated bulk,89,37,1999,1998,1998,1998,3310068464,3604314789,3697,3239,3254,3242,1261,96508
Service - tug,333,138,2005,2003,2005,2005,175208877,141352239,203,652,443,428,247,18608
Yacht,2,1,2010,2010,2010,2010,650628,78705,656,656,656,656,1,72
Other liquids tankers,4,2,1994,2001,2006,2005,12741305,18999985,578,490,376,387,6,465
