dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,373,267,1998,2000,1998,1998,234418263,320411277,154,180,193,186,106,7958
Service - other,253,27,1987,1987,1994,1993,152004304,177361191,207,384,484,534,244,18321
Service - tug,349,44,1993,1991,1997,1998,52320434,29926628,244,392,430,435,240,18041
Refrigerated bulk,13,11,1992,1991,1993,1993,9813470,7911304,231,194,176,166,56,4237
Miscellaneous - fishing,173,34,1984,1986,1986,1987,42483538,23137006,323,1126,631,655,195,14635
Bulk carrier,67,59,2007,2007,2008,2008,551572712,990739368,239,284,332,344,80,5976
Container,79,20,2007,2007,2009,2009,162108959,197350569,241,161,182,187,56,4169
Oil tanker,112,5,1977,1996,1999,2000,58162863,102592222,214,239,331,356,95,7109
Ro-Ro,3,3,2000,2000,2010,2008,7044635,3496743,120,177,116,120,2,133
Chemical tanker,25,14,2001,2002,2004,2004,16180376,25017070,232,156,164,162,25,1896
Liquefied gas tanker,15,7,2010,2008,2007,2007,4544952,4516770,47,48,54,54,14,1065
Offshore,32,6,1984,1992,2002,2002,55198464,79030670,274,407,1282,1694,64,4810
Ferry-RoPax,7,5,1998,1997,1991,1990,39483245,10573227,234,278,363,323,67,5014
Vehicle,2,2,2000,2000,1998,1997,3257328,1182917,149,149,101,104,7,549
Ferry-pax only,22,4,1981,1982,1981,1981,15490142,2527793,355,1310,1186,1362,23,1701
Cruise,2,1,1973,1973,1973,1973,13037207,2713685,229,229,229,229,5,357
