int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,244,144,2000,2004,2005,2005,2446376738,3453643875,1191,1456,1538,1558,510,39048
Container,517,130,2005,2005,2006,2006,23046630000,28638894278,1453,1161,1263,1272,3406,263639
Bulk carrier,295,261,2008,2008,2009,2009,13383398688,22547475841,1495,1830,1878,1900,1261,97469
Ro-Ro,157,31,2005,2006,2005,2006,11744923327,5947923386,1555,1522,1512,1481,1308,101136
Chemical tanker,192,140,2008,2008,2009,2009,7991347435,12688989739,1578,1838,2070,2041,1279,98816
Service - other,25,20,2004,2002,2007,2008,229248358,120683604,1838,2545,2178,2126,113,8606
Miscellaneous - fishing,151,68,1993,1992,1991,1989,821573501,648383714,1938,6592,5288,5030,474,35603
Offshore,24,16,2008,2006,2009,2009,116998788,119102328,968,3227,801,787,83,6256
Oil tanker,81,59,2005,2005,2008,2008,5532603558,10087422054,1655,2086,1875,1891,682,52550
Refrigerated bulk,107,36,2000,1994,2003,2003,1903448720,2081112063,1888,2006,2175,2159,923,70357
Ferry-RoPax,3,3,2012,2012,2013,2013,4080232,1175140,180,490,462,505,37,2758
Vehicle,90,41,2007,2009,2009,2009,9656843506,3348678161,1243,2416,1889,1841,591,45686
Cruise,12,11,2000,1998,2004,2003,814933348,96530555,879,1047,1291,1341,174,13488
Liquefied gas tanker,49,19,2010,2010,2011,2011,878561649,995050464,1555,1745,1711,1693,180,13791
Service - tug,28,21,2000,2002,2003,2003,47917999,43900041,916,1229,1118,1165,75,5599
