int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Constanta,2877,1511,1999,2002,2007,2007,27195031852,41889467159,265,648,587,642,4494,345229
Midia,605,294,1996,1999,2003,2005,3554861007,5545689929,459,488,505,487,875,66835
Braila,67,56,1990,1991,1991,1991,111694559,166485867,361,526,512,511,56,4270
Isaccea,27,22,1988,1988,1993,1994,57407365,83795318,362,643,692,722,26,1962
Agigea,262,209,1995,1996,2005,2005,822119755,1187428192,235,435,804,832,187,14236
Tulcea,290,202,1993,1993,1993,1992,427145654,615593400,326,485,467,461,177,13414
Sulina,426,231,1991,1994,2000,2001,525763218,832266817,88,268,303,327,402,30262
Mangalia,85,71,1998,1999,2007,2007,1024587528,1711410458,345,663,905,965,273,20984
Sfantu Gheorghe,56,46,1990,1990,1999,2001,93106609,141502657,182,269,329,355,24,1858
Galati,187,116,1991,1994,1998,1997,335555312,422550162,366,431,544,511,112,8551
Eforie Sud,3,3,2001,2001,2005,2005,55728585,101648669,85,372,888,934,14,1108
Chiscani,12,5,1966,1967,1965,1964,7832258,10428510,252,249,392,397,5,410
Fetesti,5,4,1965,1964,1965,1964,2859236,3699024,273,341,322,312,1,48
Orsova,2,2,1966,1966,1965,1965,615406,728369,173,173,175,173,0,12
Bechet,13,5,1969,1973,1966,1966,6945367,8465133,180,213,295,280,1,99
Bazias,1,1,1964,1964,1964,1964,485160,554320,260,260,260,260,0,9
Harsova,3,2,1982,1990,1995,1997,2098123,2896502,281,265,267,269,2,152
Cernavoda,1,1,1967,1967,1967,1967,206205,257539,124,124,124,124,0,4
